start;end;baseprice;unit
01.07.2021 00:00:00;01.07.2021 01:00:00;8.16;Cent/kWh
01.07.2021 01:00:00;01.07.2021 02:00:00;7.59;Cent/kWh
01.07.2021 02:00:00;01.07.2021 03:00:00;7.37;Cent/kWh
01.07.2021 03:00:00;01.07.2021 04:00:00;7.20;Cent/kWh
01.07.2021 04:00:00;01.07.2021 05:00:00;7.12;Cent/kWh
01.07.2021 05:00:00;01.07.2021 06:00:00;7.40;Cent/kWh
01.07.2021 06:00:00;01.07.2021 07:00:00;8.49;Cent/kWh
01.07.2021 07:00:00;01.07.2021 08:00:00;9.60;Cent/kWh
01.07.2021 08:00:00;01.07.2021 09:00:00;9.85;Cent/kWh
01.07.2021 09:00:00;01.07.2021 10:00:00;9.64;Cent/kWh
01.07.2021 10:00:00;01.07.2021 11:00:00;9.50;Cent/kWh
01.07.2021 11:00:00;01.07.2021 12:00:00;9.69;Cent/kWh
01.07.2021 12:00:00;01.07.2021 13:00:00;9.35;Cent/kWh
01.07.2021 13:00:00;01.07.2021 14:00:00;9.02;Cent/kWh
01.07.2021 14:00:00;01.07.2021 15:00:00;8.57;Cent/kWh
01.07.2021 15:00:00;01.07.2021 16:00:00;8.50;Cent/kWh
01.07.2021 16:00:00;01.07.2021 17:00:00;8.66;Cent/kWh
01.07.2021 17:00:00;01.07.2021 18:00:00;9.59;Cent/kWh
01.07.2021 18:00:00;01.07.2021 19:00:00;9.99;Cent/kWh
01.07.2021 19:00:00;01.07.2021 20:00:00;10.30;Cent/kWh
01.07.2021 20:00:00;01.07.2021 21:00:00;9.99;Cent/kWh
01.07.2021 21:00:00;01.07.2021 22:00:00;9.90;Cent/kWh
01.07.2021 22:00:00;01.07.2021 23:00:00;9.79;Cent/kWh
01.07.2021 23:00:00;02.07.2021 00:00:00;9.20;Cent/kWh
02.07.2021 00:00:00;02.07.2021 01:00:00;9.08;Cent/kWh
02.07.2021 01:00:00;02.07.2021 02:00:00;8.54;Cent/kWh
02.07.2021 02:00:00;02.07.2021 03:00:00;8.22;Cent/kWh
02.07.2021 03:00:00;02.07.2021 04:00:00;8.24;Cent/kWh
02.07.2021 04:00:00;02.07.2021 05:00:00;8.32;Cent/kWh
02.07.2021 05:00:00;02.07.2021 06:00:00;8.67;Cent/kWh
02.07.2021 06:00:00;02.07.2021 07:00:00;10.20;Cent/kWh
02.07.2021 07:00:00;02.07.2021 08:00:00;11.16;Cent/kWh
02.07.2021 08:00:00;02.07.2021 09:00:00;12.20;Cent/kWh
02.07.2021 09:00:00;02.07.2021 10:00:00;10.72;Cent/kWh
02.07.2021 10:00:00;02.07.2021 11:00:00;10.25;Cent/kWh
02.07.2021 11:00:00;02.07.2021 12:00:00;10.00;Cent/kWh
02.07.2021 12:00:00;02.07.2021 13:00:00;9.96;Cent/kWh
02.07.2021 13:00:00;02.07.2021 14:00:00;9.41;Cent/kWh
02.07.2021 14:00:00;02.07.2021 15:00:00;8.82;Cent/kWh
02.07.2021 15:00:00;02.07.2021 16:00:00;8.43;Cent/kWh
02.07.2021 16:00:00;02.07.2021 17:00:00;8.26;Cent/kWh
02.07.2021 17:00:00;02.07.2021 18:00:00;9.42;Cent/kWh
02.07.2021 18:00:00;02.07.2021 19:00:00;10.00;Cent/kWh
02.07.2021 19:00:00;02.07.2021 20:00:00;11.00;Cent/kWh
02.07.2021 20:00:00;02.07.2021 21:00:00;10.95;Cent/kWh
02.07.2021 21:00:00;02.07.2021 22:00:00;10.56;Cent/kWh
02.07.2021 22:00:00;02.07.2021 23:00:00;10.50;Cent/kWh
02.07.2021 23:00:00;03.07.2021 00:00:00;10.00;Cent/kWh
03.07.2021 00:00:00;03.07.2021 01:00:00;9.26;Cent/kWh
03.07.2021 01:00:00;03.07.2021 02:00:00;8.44;Cent/kWh
03.07.2021 02:00:00;03.07.2021 03:00:00;8.09;Cent/kWh
03.07.2021 03:00:00;03.07.2021 04:00:00;7.76;Cent/kWh
03.07.2021 04:00:00;03.07.2021 05:00:00;7.41;Cent/kWh
03.07.2021 05:00:00;03.07.2021 06:00:00;7.41;Cent/kWh
03.07.2021 06:00:00;03.07.2021 07:00:00;7.90;Cent/kWh
03.07.2021 07:00:00;03.07.2021 08:00:00;8.15;Cent/kWh
03.07.2021 08:00:00;03.07.2021 09:00:00;8.30;Cent/kWh
03.07.2021 09:00:00;03.07.2021 10:00:00;7.93;Cent/kWh
03.07.2021 10:00:00;03.07.2021 11:00:00;7.41;Cent/kWh
03.07.2021 11:00:00;03.07.2021 12:00:00;7.51;Cent/kWh
03.07.2021 12:00:00;03.07.2021 13:00:00;7.78;Cent/kWh
03.07.2021 13:00:00;03.07.2021 14:00:00;7.41;Cent/kWh
03.07.2021 14:00:00;03.07.2021 15:00:00;7.34;Cent/kWh
03.07.2021 15:00:00;03.07.2021 16:00:00;7.30;Cent/kWh
03.07.2021 16:00:00;03.07.2021 17:00:00;7.52;Cent/kWh
03.07.2021 17:00:00;03.07.2021 18:00:00;8.55;Cent/kWh
03.07.2021 18:00:00;03.07.2021 19:00:00;9.52;Cent/kWh
03.07.2021 19:00:00;03.07.2021 20:00:00;10.59;Cent/kWh
03.07.2021 20:00:00;03.07.2021 21:00:00;10.69;Cent/kWh
03.07.2021 21:00:00;03.07.2021 22:00:00;10.68;Cent/kWh
03.07.2021 22:00:00;03.07.2021 23:00:00;10.70;Cent/kWh
03.07.2021 23:00:00;04.07.2021 00:00:00;10.00;Cent/kWh
04.07.2021 00:00:00;04.07.2021 01:00:00;9.42;Cent/kWh
04.07.2021 01:00:00;04.07.2021 02:00:00;8.67;Cent/kWh
04.07.2021 02:00:00;04.07.2021 03:00:00;8.01;Cent/kWh
04.07.2021 03:00:00;04.07.2021 04:00:00;7.56;Cent/kWh
04.07.2021 04:00:00;04.07.2021 05:00:00;7.45;Cent/kWh
04.07.2021 05:00:00;04.07.2021 06:00:00;7.35;Cent/kWh
04.07.2021 06:00:00;04.07.2021 07:00:00;7.45;Cent/kWh
04.07.2021 07:00:00;04.07.2021 08:00:00;7.54;Cent/kWh
04.07.2021 08:00:00;04.07.2021 09:00:00;7.87;Cent/kWh
04.07.2021 09:00:00;04.07.2021 10:00:00;7.71;Cent/kWh
04.07.2021 10:00:00;04.07.2021 11:00:00;7.52;Cent/kWh
04.07.2021 11:00:00;04.07.2021 12:00:00;7.80;Cent/kWh
04.07.2021 12:00:00;04.07.2021 13:00:00;7.80;Cent/kWh
04.07.2021 13:00:00;04.07.2021 14:00:00;7.40;Cent/kWh
04.07.2021 14:00:00;04.07.2021 15:00:00;6.93;Cent/kWh
04.07.2021 15:00:00;04.07.2021 16:00:00;6.91;Cent/kWh
04.07.2021 16:00:00;04.07.2021 17:00:00;7.70;Cent/kWh
04.07.2021 17:00:00;04.07.2021 18:00:00;8.06;Cent/kWh
04.07.2021 18:00:00;04.07.2021 19:00:00;9.08;Cent/kWh
04.07.2021 19:00:00;04.07.2021 20:00:00;9.84;Cent/kWh
04.07.2021 20:00:00;04.07.2021 21:00:00;10.00;Cent/kWh
04.07.2021 21:00:00;04.07.2021 22:00:00;10.21;Cent/kWh
04.07.2021 22:00:00;04.07.2021 23:00:00;10.49;Cent/kWh
04.07.2021 23:00:00;05.07.2021 00:00:00;9.57;Cent/kWh
05.07.2021 00:00:00;05.07.2021 01:00:00;8.16;Cent/kWh
05.07.2021 01:00:00;05.07.2021 02:00:00;7.52;Cent/kWh
05.07.2021 02:00:00;05.07.2021 03:00:00;7.40;Cent/kWh
05.07.2021 03:00:00;05.07.2021 04:00:00;7.20;Cent/kWh
05.07.2021 04:00:00;05.07.2021 05:00:00;7.15;Cent/kWh
05.07.2021 05:00:00;05.07.2021 06:00:00;7.41;Cent/kWh
05.07.2021 06:00:00;05.07.2021 07:00:00;9.16;Cent/kWh
05.07.2021 07:00:00;05.07.2021 08:00:00;10.19;Cent/kWh
05.07.2021 08:00:00;05.07.2021 09:00:00;10.57;Cent/kWh
05.07.2021 09:00:00;05.07.2021 10:00:00;10.36;Cent/kWh
05.07.2021 10:00:00;05.07.2021 11:00:00;10.10;Cent/kWh
05.07.2021 11:00:00;05.07.2021 12:00:00;10.01;Cent/kWh
05.07.2021 12:00:00;05.07.2021 13:00:00;9.79;Cent/kWh
05.07.2021 13:00:00;05.07.2021 14:00:00;9.42;Cent/kWh
05.07.2021 14:00:00;05.07.2021 15:00:00;8.89;Cent/kWh
05.07.2021 15:00:00;05.07.2021 16:00:00;8.39;Cent/kWh
05.07.2021 16:00:00;05.07.2021 17:00:00;8.78;Cent/kWh
05.07.2021 17:00:00;05.07.2021 18:00:00;9.94;Cent/kWh
05.07.2021 18:00:00;05.07.2021 19:00:00;10.50;Cent/kWh
05.07.2021 19:00:00;05.07.2021 20:00:00;11.45;Cent/kWh
05.07.2021 20:00:00;05.07.2021 21:00:00;11.58;Cent/kWh
05.07.2021 21:00:00;05.07.2021 22:00:00;11.00;Cent/kWh
05.07.2021 22:00:00;05.07.2021 23:00:00;10.40;Cent/kWh
05.07.2021 23:00:00;06.07.2021 00:00:00;9.46;Cent/kWh
06.07.2021 00:00:00;06.07.2021 01:00:00;8.68;Cent/kWh
06.07.2021 01:00:00;06.07.2021 02:00:00;7.81;Cent/kWh
06.07.2021 02:00:00;06.07.2021 03:00:00;7.28;Cent/kWh
06.07.2021 03:00:00;06.07.2021 04:00:00;6.79;Cent/kWh
06.07.2021 04:00:00;06.07.2021 05:00:00;6.39;Cent/kWh
06.07.2021 05:00:00;06.07.2021 06:00:00;7.16;Cent/kWh
06.07.2021 06:00:00;06.07.2021 07:00:00;8.07;Cent/kWh
06.07.2021 07:00:00;06.07.2021 08:00:00;9.66;Cent/kWh
06.07.2021 08:00:00;06.07.2021 09:00:00;9.71;Cent/kWh
06.07.2021 09:00:00;06.07.2021 10:00:00;8.73;Cent/kWh
06.07.2021 10:00:00;06.07.2021 11:00:00;7.68;Cent/kWh
06.07.2021 11:00:00;06.07.2021 12:00:00;8.54;Cent/kWh
06.07.2021 12:00:00;06.07.2021 13:00:00;9.00;Cent/kWh
06.07.2021 13:00:00;06.07.2021 14:00:00;8.99;Cent/kWh
06.07.2021 14:00:00;06.07.2021 15:00:00;9.00;Cent/kWh
06.07.2021 15:00:00;06.07.2021 16:00:00;8.99;Cent/kWh
06.07.2021 16:00:00;06.07.2021 17:00:00;9.01;Cent/kWh
06.07.2021 17:00:00;06.07.2021 18:00:00;8.17;Cent/kWh
06.07.2021 18:00:00;06.07.2021 19:00:00;9.15;Cent/kWh
06.07.2021 19:00:00;06.07.2021 20:00:00;9.99;Cent/kWh
06.07.2021 20:00:00;06.07.2021 21:00:00;10.35;Cent/kWh
06.07.2021 21:00:00;06.07.2021 22:00:00;10.40;Cent/kWh
06.07.2021 22:00:00;06.07.2021 23:00:00;10.19;Cent/kWh
06.07.2021 23:00:00;07.07.2021 00:00:00;9.13;Cent/kWh
07.07.2021 00:00:00;07.07.2021 01:00:00;8.23;Cent/kWh
07.07.2021 01:00:00;07.07.2021 02:00:00;7.51;Cent/kWh
07.07.2021 02:00:00;07.07.2021 03:00:00;7.51;Cent/kWh
07.07.2021 03:00:00;07.07.2021 04:00:00;7.51;Cent/kWh
07.07.2021 04:00:00;07.07.2021 05:00:00;7.51;Cent/kWh
07.07.2021 05:00:00;07.07.2021 06:00:00;7.97;Cent/kWh
07.07.2021 06:00:00;07.07.2021 07:00:00;9.65;Cent/kWh
07.07.2021 07:00:00;07.07.2021 08:00:00;10.48;Cent/kWh
07.07.2021 08:00:00;07.07.2021 09:00:00;10.83;Cent/kWh
07.07.2021 09:00:00;07.07.2021 10:00:00;10.49;Cent/kWh
07.07.2021 10:00:00;07.07.2021 11:00:00;10.10;Cent/kWh
