start;end;baseprice;unit
01.03.2021 00:00:00;01.03.2021 01:00:00;4.25;Cent/kWh
01.03.2021 01:00:00;01.03.2021 02:00:00;4.10;Cent/kWh
01.03.2021 02:00:00;01.03.2021 03:00:00;4.10;Cent/kWh
01.03.2021 03:00:00;01.03.2021 04:00:00;4.10;Cent/kWh
01.03.2021 04:00:00;01.03.2021 05:00:00;4.08;Cent/kWh
01.03.2021 05:00:00;01.03.2021 06:00:00;4.49;Cent/kWh
01.03.2021 06:00:00;01.03.2021 07:00:00;5.75;Cent/kWh
01.03.2021 07:00:00;01.03.2021 08:00:00;6.51;Cent/kWh
01.03.2021 08:00:00;01.03.2021 09:00:00;6.64;Cent/kWh
01.03.2021 09:00:00;01.03.2021 10:00:00;5.92;Cent/kWh
01.03.2021 10:00:00;01.03.2021 11:00:00;5.24;Cent/kWh
01.03.2021 11:00:00;01.03.2021 12:00:00;5.30;Cent/kWh
01.03.2021 12:00:00;01.03.2021 13:00:00;4.99;Cent/kWh
01.03.2021 13:00:00;01.03.2021 14:00:00;4.07;Cent/kWh
01.03.2021 14:00:00;01.03.2021 15:00:00;4.00;Cent/kWh
01.03.2021 15:00:00;01.03.2021 16:00:00;4.34;Cent/kWh
01.03.2021 16:00:00;01.03.2021 17:00:00;4.90;Cent/kWh
01.03.2021 17:00:00;01.03.2021 18:00:00;5.70;Cent/kWh
01.03.2021 18:00:00;01.03.2021 19:00:00;6.85;Cent/kWh
01.03.2021 19:00:00;01.03.2021 20:00:00;6.50;Cent/kWh
01.03.2021 20:00:00;01.03.2021 21:00:00;5.74;Cent/kWh
01.03.2021 21:00:00;01.03.2021 22:00:00;5.09;Cent/kWh
01.03.2021 22:00:00;01.03.2021 23:00:00;4.81;Cent/kWh
01.03.2021 23:00:00;02.03.2021 00:00:00;4.29;Cent/kWh
02.03.2021 00:00:00;02.03.2021 01:00:00;4.43;Cent/kWh
02.03.2021 01:00:00;02.03.2021 02:00:00;4.39;Cent/kWh
02.03.2021 02:00:00;02.03.2021 03:00:00;4.34;Cent/kWh
02.03.2021 03:00:00;02.03.2021 04:00:00;4.21;Cent/kWh
02.03.2021 04:00:00;02.03.2021 05:00:00;4.21;Cent/kWh
02.03.2021 05:00:00;02.03.2021 06:00:00;4.73;Cent/kWh
02.03.2021 06:00:00;02.03.2021 07:00:00;5.59;Cent/kWh
02.03.2021 07:00:00;02.03.2021 08:00:00;6.61;Cent/kWh
02.03.2021 08:00:00;02.03.2021 09:00:00;7.10;Cent/kWh
02.03.2021 09:00:00;02.03.2021 10:00:00;5.87;Cent/kWh
02.03.2021 10:00:00;02.03.2021 11:00:00;5.58;Cent/kWh
02.03.2021 11:00:00;02.03.2021 12:00:00;5.41;Cent/kWh
02.03.2021 12:00:00;02.03.2021 13:00:00;5.49;Cent/kWh
02.03.2021 13:00:00;02.03.2021 14:00:00;5.10;Cent/kWh
02.03.2021 14:00:00;02.03.2021 15:00:00;5.14;Cent/kWh
02.03.2021 15:00:00;02.03.2021 16:00:00;5.25;Cent/kWh
02.03.2021 16:00:00;02.03.2021 17:00:00;5.38;Cent/kWh
02.03.2021 17:00:00;02.03.2021 18:00:00;5.86;Cent/kWh
02.03.2021 18:00:00;02.03.2021 19:00:00;7.93;Cent/kWh
02.03.2021 19:00:00;02.03.2021 20:00:00;7.86;Cent/kWh
02.03.2021 20:00:00;02.03.2021 21:00:00;6.35;Cent/kWh
02.03.2021 21:00:00;02.03.2021 22:00:00;5.69;Cent/kWh
02.03.2021 22:00:00;02.03.2021 23:00:00;5.55;Cent/kWh
02.03.2021 23:00:00;03.03.2021 00:00:00;5.21;Cent/kWh
03.03.2021 00:00:00;03.03.2021 01:00:00;4.58;Cent/kWh
03.03.2021 01:00:00;03.03.2021 02:00:00;4.47;Cent/kWh
03.03.2021 02:00:00;03.03.2021 03:00:00;4.38;Cent/kWh
03.03.2021 03:00:00;03.03.2021 04:00:00;4.39;Cent/kWh
03.03.2021 04:00:00;03.03.2021 05:00:00;4.41;Cent/kWh
03.03.2021 05:00:00;03.03.2021 06:00:00;4.94;Cent/kWh
03.03.2021 06:00:00;03.03.2021 07:00:00;5.90;Cent/kWh
03.03.2021 07:00:00;03.03.2021 08:00:00;6.70;Cent/kWh
03.03.2021 08:00:00;03.03.2021 09:00:00;6.68;Cent/kWh
03.03.2021 09:00:00;03.03.2021 10:00:00;5.82;Cent/kWh
03.03.2021 10:00:00;03.03.2021 11:00:00;5.59;Cent/kWh
03.03.2021 11:00:00;03.03.2021 12:00:00;5.49;Cent/kWh
03.03.2021 12:00:00;03.03.2021 13:00:00;5.50;Cent/kWh
03.03.2021 13:00:00;03.03.2021 14:00:00;5.11;Cent/kWh
03.03.2021 14:00:00;03.03.2021 15:00:00;4.70;Cent/kWh
03.03.2021 15:00:00;03.03.2021 16:00:00;4.49;Cent/kWh
03.03.2021 16:00:00;03.03.2021 17:00:00;4.70;Cent/kWh
03.03.2021 17:00:00;03.03.2021 18:00:00;5.64;Cent/kWh
03.03.2021 18:00:00;03.03.2021 19:00:00;6.77;Cent/kWh
03.03.2021 19:00:00;03.03.2021 20:00:00;7.00;Cent/kWh
03.03.2021 20:00:00;03.03.2021 21:00:00;6.02;Cent/kWh
03.03.2021 21:00:00;03.03.2021 22:00:00;5.47;Cent/kWh
03.03.2021 22:00:00;03.03.2021 23:00:00;5.22;Cent/kWh
03.03.2021 23:00:00;04.03.2021 00:00:00;4.73;Cent/kWh
04.03.2021 00:00:00;04.03.2021 01:00:00;4.81;Cent/kWh
04.03.2021 01:00:00;04.03.2021 02:00:00;4.61;Cent/kWh
04.03.2021 02:00:00;04.03.2021 03:00:00;4.43;Cent/kWh
04.03.2021 03:00:00;04.03.2021 04:00:00;4.34;Cent/kWh
04.03.2021 04:00:00;04.03.2021 05:00:00;4.40;Cent/kWh
04.03.2021 05:00:00;04.03.2021 06:00:00;4.65;Cent/kWh
04.03.2021 06:00:00;04.03.2021 07:00:00;5.58;Cent/kWh
04.03.2021 07:00:00;04.03.2021 08:00:00;6.20;Cent/kWh
04.03.2021 08:00:00;04.03.2021 09:00:00;6.57;Cent/kWh
04.03.2021 09:00:00;04.03.2021 10:00:00;6.49;Cent/kWh
04.03.2021 10:00:00;04.03.2021 11:00:00;6.01;Cent/kWh
04.03.2021 11:00:00;04.03.2021 12:00:00;5.65;Cent/kWh
04.03.2021 12:00:00;04.03.2021 13:00:00;5.50;Cent/kWh
04.03.2021 13:00:00;04.03.2021 14:00:00;5.40;Cent/kWh
04.03.2021 14:00:00;04.03.2021 15:00:00;5.32;Cent/kWh
04.03.2021 15:00:00;04.03.2021 16:00:00;5.35;Cent/kWh
04.03.2021 16:00:00;04.03.2021 17:00:00;5.31;Cent/kWh
04.03.2021 17:00:00;04.03.2021 18:00:00;5.61;Cent/kWh
04.03.2021 18:00:00;04.03.2021 19:00:00;6.21;Cent/kWh
04.03.2021 19:00:00;04.03.2021 20:00:00;6.61;Cent/kWh
04.03.2021 20:00:00;04.03.2021 21:00:00;5.76;Cent/kWh
04.03.2021 21:00:00;04.03.2021 22:00:00;5.31;Cent/kWh
04.03.2021 22:00:00;04.03.2021 23:00:00;5.06;Cent/kWh
04.03.2021 23:00:00;05.03.2021 00:00:00;4.71;Cent/kWh
05.03.2021 00:00:00;05.03.2021 01:00:00;4.62;Cent/kWh
05.03.2021 01:00:00;05.03.2021 02:00:00;4.43;Cent/kWh
05.03.2021 02:00:00;05.03.2021 03:00:00;4.27;Cent/kWh
05.03.2021 03:00:00;05.03.2021 04:00:00;4.20;Cent/kWh
05.03.2021 04:00:00;05.03.2021 05:00:00;4.34;Cent/kWh
05.03.2021 05:00:00;05.03.2021 06:00:00;4.70;Cent/kWh
05.03.2021 06:00:00;05.03.2021 07:00:00;5.73;Cent/kWh
05.03.2021 07:00:00;05.03.2021 08:00:00;6.49;Cent/kWh
05.03.2021 08:00:00;05.03.2021 09:00:00;6.80;Cent/kWh
05.03.2021 09:00:00;05.03.2021 10:00:00;6.52;Cent/kWh
05.03.2021 10:00:00;05.03.2021 11:00:00;5.89;Cent/kWh
05.03.2021 11:00:00;05.03.2021 12:00:00;5.62;Cent/kWh
05.03.2021 12:00:00;05.03.2021 13:00:00;5.40;Cent/kWh
05.03.2021 13:00:00;05.03.2021 14:00:00;4.66;Cent/kWh
05.03.2021 14:00:00;05.03.2021 15:00:00;4.41;Cent/kWh
05.03.2021 15:00:00;05.03.2021 16:00:00;4.58;Cent/kWh
05.03.2021 16:00:00;05.03.2021 17:00:00;5.18;Cent/kWh
05.03.2021 17:00:00;05.03.2021 18:00:00;5.89;Cent/kWh
05.03.2021 18:00:00;05.03.2021 19:00:00;6.42;Cent/kWh
05.03.2021 19:00:00;05.03.2021 20:00:00;6.54;Cent/kWh
05.03.2021 20:00:00;05.03.2021 21:00:00;5.92;Cent/kWh
05.03.2021 21:00:00;05.03.2021 22:00:00;5.53;Cent/kWh
05.03.2021 22:00:00;05.03.2021 23:00:00;5.32;Cent/kWh
05.03.2021 23:00:00;06.03.2021 00:00:00;4.82;Cent/kWh
06.03.2021 00:00:00;06.03.2021 01:00:00;4.80;Cent/kWh
