start;end;baseprice;unit
01.01.2021 00:00:00;01.01.2021 01:00:00;5.09;Cent/kWh
01.01.2021 01:00:00;01.01.2021 02:00:00;4.82;Cent/kWh
01.01.2021 02:00:00;01.01.2021 03:00:00;4.47;Cent/kWh
01.01.2021 03:00:00;01.01.2021 04:00:00;4.29;Cent/kWh
01.01.2021 04:00:00;01.01.2021 05:00:00;4.04;Cent/kWh
01.01.2021 05:00:00;01.01.2021 06:00:00;4.02;Cent/kWh
01.01.2021 06:00:00;01.01.2021 07:00:00;3.96;Cent/kWh
01.01.2021 07:00:00;01.01.2021 08:00:00;4.01;Cent/kWh
01.01.2021 08:00:00;01.01.2021 09:00:00;4.13;Cent/kWh
01.01.2021 09:00:00;01.01.2021 10:00:00;4.49;Cent/kWh
01.01.2021 10:00:00;01.01.2021 11:00:00;4.50;Cent/kWh
01.01.2021 11:00:00;01.01.2021 12:00:00;4.72;Cent/kWh
01.01.2021 12:00:00;01.01.2021 13:00:00;5.08;Cent/kWh
01.01.2021 13:00:00;01.01.2021 14:00:00;4.55;Cent/kWh
01.01.2021 14:00:00;01.01.2021 15:00:00;4.47;Cent/kWh
01.01.2021 15:00:00;01.01.2021 16:00:00;4.66;Cent/kWh
01.01.2021 16:00:00;01.01.2021 17:00:00;5.30;Cent/kWh
01.01.2021 17:00:00;01.01.2021 18:00:00;6.03;Cent/kWh
01.01.2021 18:00:00;01.01.2021 19:00:00;6.06;Cent/kWh
01.01.2021 19:00:00;01.01.2021 20:00:00;6.04;Cent/kWh
01.01.2021 20:00:00;01.01.2021 21:00:00;5.74;Cent/kWh
01.01.2021 21:00:00;01.01.2021 22:00:00;5.39;Cent/kWh
01.01.2021 22:00:00;01.01.2021 23:00:00;5.35;Cent/kWh
01.01.2021 23:00:00;02.01.2021 00:00:00;4.97;Cent/kWh
02.01.2021 00:00:00;02.01.2021 01:00:00;4.67;Cent/kWh
02.01.2021 01:00:00;02.01.2021 02:00:00;4.24;Cent/kWh
02.01.2021 02:00:00;02.01.2021 03:00:00;4.11;Cent/kWh
02.01.2021 03:00:00;02.01.2021 04:00:00;4.00;Cent/kWh
02.01.2021 04:00:00;02.01.2021 05:00:00;3.76;Cent/kWh
02.01.2021 05:00:00;02.01.2021 06:00:00;3.90;Cent/kWh
02.01.2021 06:00:00;02.01.2021 07:00:00;4.21;Cent/kWh
02.01.2021 07:00:00;02.01.2021 08:00:00;4.50;Cent/kWh
02.01.2021 08:00:00;02.01.2021 09:00:00;4.85;Cent/kWh
02.01.2021 09:00:00;02.01.2021 10:00:00;5.20;Cent/kWh
02.01.2021 10:00:00;02.01.2021 11:00:00;5.20;Cent/kWh
02.01.2021 11:00:00;02.01.2021 12:00:00;5.22;Cent/kWh
02.01.2021 12:00:00;02.01.2021 13:00:00;5.60;Cent/kWh
02.01.2021 13:00:00;02.01.2021 14:00:00;5.20;Cent/kWh
02.01.2021 14:00:00;02.01.2021 15:00:00;5.07;Cent/kWh
02.01.2021 15:00:00;02.01.2021 16:00:00;5.35;Cent/kWh
02.01.2021 16:00:00;02.01.2021 17:00:00;6.00;Cent/kWh
02.01.2021 17:00:00;02.01.2021 18:00:00;6.20;Cent/kWh
02.01.2021 18:00:00;02.01.2021 19:00:00;6.31;Cent/kWh
02.01.2021 19:00:00;02.01.2021 20:00:00;6.22;Cent/kWh
02.01.2021 20:00:00;02.01.2021 21:00:00;6.00;Cent/kWh
02.01.2021 21:00:00;02.01.2021 22:00:00;5.50;Cent/kWh
02.01.2021 22:00:00;02.01.2021 23:00:00;5.23;Cent/kWh
02.01.2021 23:00:00;03.01.2021 00:00:00;4.85;Cent/kWh
03.01.2021 00:00:00;03.01.2021 01:00:00;4.61;Cent/kWh
03.01.2021 01:00:00;03.01.2021 02:00:00;4.30;Cent/kWh
03.01.2021 02:00:00;03.01.2021 03:00:00;3.96;Cent/kWh
03.01.2021 03:00:00;03.01.2021 04:00:00;3.59;Cent/kWh
03.01.2021 04:00:00;03.01.2021 05:00:00;3.40;Cent/kWh
03.01.2021 05:00:00;03.01.2021 06:00:00;3.34;Cent/kWh
03.01.2021 06:00:00;03.01.2021 07:00:00;3.32;Cent/kWh
03.01.2021 07:00:00;03.01.2021 08:00:00;3.41;Cent/kWh
03.01.2021 08:00:00;03.01.2021 09:00:00;3.76;Cent/kWh
03.01.2021 09:00:00;03.01.2021 10:00:00;3.94;Cent/kWh
03.01.2021 10:00:00;03.01.2021 11:00:00;4.08;Cent/kWh
03.01.2021 11:00:00;03.01.2021 12:00:00;4.58;Cent/kWh
03.01.2021 12:00:00;03.01.2021 13:00:00;4.91;Cent/kWh
03.01.2021 13:00:00;03.01.2021 14:00:00;4.24;Cent/kWh
03.01.2021 14:00:00;03.01.2021 15:00:00;4.11;Cent/kWh
03.01.2021 15:00:00;03.01.2021 16:00:00;4.01;Cent/kWh
03.01.2021 16:00:00;03.01.2021 17:00:00;4.06;Cent/kWh
03.01.2021 17:00:00;03.01.2021 18:00:00;4.84;Cent/kWh
03.01.2021 18:00:00;03.01.2021 19:00:00;5.49;Cent/kWh
03.01.2021 19:00:00;03.01.2021 20:00:00;4.97;Cent/kWh
03.01.2021 20:00:00;03.01.2021 21:00:00;4.15;Cent/kWh
03.01.2021 21:00:00;03.01.2021 22:00:00;3.95;Cent/kWh
03.01.2021 22:00:00;03.01.2021 23:00:00;3.94;Cent/kWh
03.01.2021 23:00:00;04.01.2021 00:00:00;3.29;Cent/kWh
04.01.2021 00:00:00;04.01.2021 01:00:00;3.41;Cent/kWh
04.01.2021 01:00:00;04.01.2021 02:00:00;2.99;Cent/kWh
04.01.2021 02:00:00;04.01.2021 03:00:00;2.90;Cent/kWh
04.01.2021 03:00:00;04.01.2021 04:00:00;2.86;Cent/kWh
04.01.2021 04:00:00;04.01.2021 05:00:00;3.09;Cent/kWh
04.01.2021 05:00:00;04.01.2021 06:00:00;3.21;Cent/kWh
04.01.2021 06:00:00;04.01.2021 07:00:00;4.13;Cent/kWh
04.01.2021 07:00:00;04.01.2021 08:00:00;5.52;Cent/kWh
04.01.2021 08:00:00;04.01.2021 09:00:00;5.82;Cent/kWh
04.01.2021 09:00:00;04.01.2021 10:00:00;5.92;Cent/kWh
04.01.2021 10:00:00;04.01.2021 11:00:00;5.88;Cent/kWh
04.01.2021 11:00:00;04.01.2021 12:00:00;6.07;Cent/kWh
04.01.2021 12:00:00;04.01.2021 13:00:00;6.17;Cent/kWh
04.01.2021 13:00:00;04.01.2021 14:00:00;6.09;Cent/kWh
04.01.2021 14:00:00;04.01.2021 15:00:00;6.04;Cent/kWh
04.01.2021 15:00:00;04.01.2021 16:00:00;6.00;Cent/kWh
04.01.2021 16:00:00;04.01.2021 17:00:00;6.23;Cent/kWh
04.01.2021 17:00:00;04.01.2021 18:00:00;6.69;Cent/kWh
04.01.2021 18:00:00;04.01.2021 19:00:00;6.44;Cent/kWh
04.01.2021 19:00:00;04.01.2021 20:00:00;5.99;Cent/kWh
04.01.2021 20:00:00;04.01.2021 21:00:00;5.22;Cent/kWh
04.01.2021 21:00:00;04.01.2021 22:00:00;4.91;Cent/kWh
04.01.2021 22:00:00;04.01.2021 23:00:00;5.11;Cent/kWh
04.01.2021 23:00:00;05.01.2021 00:00:00;4.67;Cent/kWh
05.01.2021 00:00:00;05.01.2021 01:00:00;4.20;Cent/kWh
05.01.2021 01:00:00;05.01.2021 02:00:00;4.25;Cent/kWh
05.01.2021 02:00:00;05.01.2021 03:00:00;4.20;Cent/kWh
05.01.2021 03:00:00;05.01.2021 04:00:00;4.07;Cent/kWh
05.01.2021 04:00:00;05.01.2021 05:00:00;4.12;Cent/kWh
05.01.2021 05:00:00;05.01.2021 06:00:00;4.56;Cent/kWh
05.01.2021 06:00:00;05.01.2021 07:00:00;4.95;Cent/kWh
05.01.2021 07:00:00;05.01.2021 08:00:00;5.78;Cent/kWh
05.01.2021 08:00:00;05.01.2021 09:00:00;6.51;Cent/kWh
05.01.2021 09:00:00;05.01.2021 10:00:00;6.70;Cent/kWh
05.01.2021 10:00:00;05.01.2021 11:00:00;6.77;Cent/kWh
05.01.2021 11:00:00;05.01.2021 12:00:00;6.74;Cent/kWh
05.01.2021 12:00:00;05.01.2021 13:00:00;6.68;Cent/kWh
05.01.2021 13:00:00;05.01.2021 14:00:00;6.59;Cent/kWh
05.01.2021 14:00:00;05.01.2021 15:00:00;6.52;Cent/kWh
05.01.2021 15:00:00;05.01.2021 16:00:00;6.46;Cent/kWh
05.01.2021 16:00:00;05.01.2021 17:00:00;6.46;Cent/kWh
05.01.2021 17:00:00;05.01.2021 18:00:00;6.83;Cent/kWh
05.01.2021 18:00:00;05.01.2021 19:00:00;6.60;Cent/kWh
05.01.2021 19:00:00;05.01.2021 20:00:00;6.36;Cent/kWh
05.01.2021 20:00:00;05.01.2021 21:00:00;6.19;Cent/kWh
05.01.2021 21:00:00;05.01.2021 22:00:00;5.49;Cent/kWh
