start;end;baseprice;unit
01.02.2021 00:00:00;01.02.2021 01:00:00;4.12;Cent/kWh
01.02.2021 01:00:00;01.02.2021 02:00:00;4.00;Cent/kWh
01.02.2021 02:00:00;01.02.2021 03:00:00;4.00;Cent/kWh
01.02.2021 03:00:00;01.02.2021 04:00:00;3.85;Cent/kWh
01.02.2021 04:00:00;01.02.2021 05:00:00;3.62;Cent/kWh
01.02.2021 05:00:00;01.02.2021 06:00:00;4.00;Cent/kWh
01.02.2021 06:00:00;01.02.2021 07:00:00;5.39;Cent/kWh
01.02.2021 07:00:00;01.02.2021 08:00:00;6.34;Cent/kWh
01.02.2021 08:00:00;01.02.2021 09:00:00;6.48;Cent/kWh
01.02.2021 09:00:00;01.02.2021 10:00:00;6.51;Cent/kWh
01.02.2021 10:00:00;01.02.2021 11:00:00;6.47;Cent/kWh
01.02.2021 11:00:00;01.02.2021 12:00:00;6.56;Cent/kWh
01.02.2021 12:00:00;01.02.2021 13:00:00;6.45;Cent/kWh
01.02.2021 13:00:00;01.02.2021 14:00:00;6.48;Cent/kWh
01.02.2021 14:00:00;01.02.2021 15:00:00;6.40;Cent/kWh
01.02.2021 15:00:00;01.02.2021 16:00:00;6.31;Cent/kWh
01.02.2021 16:00:00;01.02.2021 17:00:00;6.33;Cent/kWh
01.02.2021 17:00:00;01.02.2021 18:00:00;6.91;Cent/kWh
01.02.2021 18:00:00;01.02.2021 19:00:00;8.16;Cent/kWh
01.02.2021 19:00:00;01.02.2021 20:00:00;6.99;Cent/kWh
01.02.2021 20:00:00;01.02.2021 21:00:00;6.23;Cent/kWh
01.02.2021 21:00:00;01.02.2021 22:00:00;5.64;Cent/kWh
01.02.2021 22:00:00;01.02.2021 23:00:00;5.53;Cent/kWh
01.02.2021 23:00:00;02.02.2021 00:00:00;4.94;Cent/kWh
02.02.2021 00:00:00;02.02.2021 01:00:00;4.61;Cent/kWh
02.02.2021 01:00:00;02.02.2021 02:00:00;4.51;Cent/kWh
02.02.2021 02:00:00;02.02.2021 03:00:00;4.36;Cent/kWh
02.02.2021 03:00:00;02.02.2021 04:00:00;4.19;Cent/kWh
02.02.2021 04:00:00;02.02.2021 05:00:00;4.08;Cent/kWh
02.02.2021 05:00:00;02.02.2021 06:00:00;4.39;Cent/kWh
02.02.2021 06:00:00;02.02.2021 07:00:00;5.69;Cent/kWh
02.02.2021 07:00:00;02.02.2021 08:00:00;6.30;Cent/kWh
02.02.2021 08:00:00;02.02.2021 09:00:00;7.63;Cent/kWh
02.02.2021 09:00:00;02.02.2021 10:00:00;6.92;Cent/kWh
02.02.2021 10:00:00;02.02.2021 11:00:00;6.50;Cent/kWh
02.02.2021 11:00:00;02.02.2021 12:00:00;6.41;Cent/kWh
02.02.2021 12:00:00;02.02.2021 13:00:00;6.02;Cent/kWh
