start;end;baseprice;unit
01.08.2021 00:00:00;01.08.2021 01:00:00;5.42;Cent/kWh
01.08.2021 01:00:00;01.08.2021 02:00:00;5.09;Cent/kWh
01.08.2021 02:00:00;01.08.2021 03:00:00;5.08;Cent/kWh
01.08.2021 03:00:00;01.08.2021 04:00:00;4.85;Cent/kWh
01.08.2021 04:00:00;01.08.2021 05:00:00;4.82;Cent/kWh
01.08.2021 05:00:00;01.08.2021 06:00:00;4.95;Cent/kWh
01.08.2021 06:00:00;01.08.2021 07:00:00;4.86;Cent/kWh
01.08.2021 07:00:00;01.08.2021 08:00:00;5.35;Cent/kWh
01.08.2021 08:00:00;01.08.2021 09:00:00;5.55;Cent/kWh
01.08.2021 09:00:00;01.08.2021 10:00:00;5.58;Cent/kWh
01.08.2021 10:00:00;01.08.2021 11:00:00;5.74;Cent/kWh
01.08.2021 11:00:00;01.08.2021 12:00:00;5.93;Cent/kWh
01.08.2021 12:00:00;01.08.2021 13:00:00;6.01;Cent/kWh
01.08.2021 13:00:00;01.08.2021 14:00:00;5.60;Cent/kWh
01.08.2021 14:00:00;01.08.2021 15:00:00;5.01;Cent/kWh
01.08.2021 15:00:00;01.08.2021 16:00:00;4.89;Cent/kWh
01.08.2021 16:00:00;01.08.2021 17:00:00;4.83;Cent/kWh
01.08.2021 17:00:00;01.08.2021 18:00:00;5.76;Cent/kWh
01.08.2021 18:00:00;01.08.2021 19:00:00;6.64;Cent/kWh
01.08.2021 19:00:00;01.08.2021 20:00:00;7.63;Cent/kWh
01.08.2021 20:00:00;01.08.2021 21:00:00;8.00;Cent/kWh
01.08.2021 21:00:00;01.08.2021 22:00:00;7.80;Cent/kWh
01.08.2021 22:00:00;01.08.2021 23:00:00;7.29;Cent/kWh
01.08.2021 23:00:00;02.08.2021 00:00:00;6.03;Cent/kWh
02.08.2021 00:00:00;02.08.2021 01:00:00;6.17;Cent/kWh
02.08.2021 01:00:00;02.08.2021 02:00:00;5.70;Cent/kWh
02.08.2021 02:00:00;02.08.2021 03:00:00;5.60;Cent/kWh
02.08.2021 03:00:00;02.08.2021 04:00:00;5.21;Cent/kWh
02.08.2021 04:00:00;02.08.2021 05:00:00;5.16;Cent/kWh
02.08.2021 05:00:00;02.08.2021 06:00:00;5.99;Cent/kWh
