start;end;baseprice;unit
01.04.2023 00:00:00;01.04.2023 01:00:00;8.22;Cent/kWh
01.04.2023 01:00:00;01.04.2023 02:00:00;6.39;Cent/kWh
01.04.2023 02:00:00;01.04.2023 03:00:00;5.38;Cent/kWh
01.04.2023 03:00:00;01.04.2023 04:00:00;4.01;Cent/kWh
01.04.2023 04:00:00;01.04.2023 05:00:00;3.74;Cent/kWh
01.04.2023 05:00:00;01.04.2023 06:00:00;3.75;Cent/kWh
01.04.2023 06:00:00;01.04.2023 07:00:00;3.56;Cent/kWh
01.04.2023 07:00:00;01.04.2023 08:00:00;5.31;Cent/kWh
01.04.2023 08:00:00;01.04.2023 09:00:00;6.23;Cent/kWh
01.04.2023 09:00:00;01.04.2023 10:00:00;6.24;Cent/kWh
01.04.2023 10:00:00;01.04.2023 11:00:00;5.00;Cent/kWh
01.04.2023 11:00:00;01.04.2023 12:00:00;4.61;Cent/kWh
01.04.2023 12:00:00;01.04.2023 13:00:00;4.15;Cent/kWh
01.04.2023 13:00:00;01.04.2023 14:00:00;3.97;Cent/kWh
01.04.2023 14:00:00;01.04.2023 15:00:00;3.42;Cent/kWh
01.04.2023 15:00:00;01.04.2023 16:00:00;3.67;Cent/kWh
01.04.2023 16:00:00;01.04.2023 17:00:00;4.20;Cent/kWh
01.04.2023 17:00:00;01.04.2023 18:00:00;5.40;Cent/kWh
01.04.2023 18:00:00;01.04.2023 19:00:00;8.63;Cent/kWh
01.04.2023 19:00:00;01.04.2023 20:00:00;9.14;Cent/kWh
01.04.2023 20:00:00;01.04.2023 21:00:00;8.77;Cent/kWh
01.04.2023 21:00:00;01.04.2023 22:00:00;7.77;Cent/kWh
01.04.2023 22:00:00;01.04.2023 23:00:00;8.03;Cent/kWh
01.04.2023 23:00:00;02.04.2023 00:00:00;6.70;Cent/kWh
02.04.2023 00:00:00;02.04.2023 01:00:00;7.11;Cent/kWh
02.04.2023 01:00:00;02.04.2023 02:00:00;6.18;Cent/kWh
02.04.2023 02:00:00;02.04.2023 03:00:00;5.85;Cent/kWh
02.04.2023 03:00:00;02.04.2023 04:00:00;6.05;Cent/kWh
02.04.2023 04:00:00;02.04.2023 05:00:00;5.85;Cent/kWh
02.04.2023 05:00:00;02.04.2023 06:00:00;6.05;Cent/kWh
02.04.2023 06:00:00;02.04.2023 07:00:00;5.87;Cent/kWh
02.04.2023 07:00:00;02.04.2023 08:00:00;7.01;Cent/kWh
02.04.2023 08:00:00;02.04.2023 09:00:00;7.56;Cent/kWh
02.04.2023 09:00:00;02.04.2023 10:00:00;6.61;Cent/kWh
02.04.2023 10:00:00;02.04.2023 11:00:00;5.29;Cent/kWh
02.04.2023 11:00:00;02.04.2023 12:00:00;5.41;Cent/kWh
02.04.2023 12:00:00;02.04.2023 13:00:00;4.94;Cent/kWh
02.04.2023 13:00:00;02.04.2023 14:00:00;2.86;Cent/kWh
02.04.2023 14:00:00;02.04.2023 15:00:00;1.53;Cent/kWh
02.04.2023 15:00:00;02.04.2023 16:00:00;1.67;Cent/kWh
02.04.2023 16:00:00;02.04.2023 17:00:00;3.16;Cent/kWh
02.04.2023 17:00:00;02.04.2023 18:00:00;4.17;Cent/kWh
02.04.2023 18:00:00;02.04.2023 19:00:00;10.04;Cent/kWh
02.04.2023 19:00:00;02.04.2023 20:00:00;13.00;Cent/kWh
02.04.2023 20:00:00;02.04.2023 21:00:00;12.99;Cent/kWh
02.04.2023 21:00:00;02.04.2023 22:00:00;12.10;Cent/kWh
02.04.2023 22:00:00;02.04.2023 23:00:00;11.42;Cent/kWh
02.04.2023 23:00:00;03.04.2023 00:00:00;10.93;Cent/kWh
03.04.2023 00:00:00;03.04.2023 01:00:00;9.33;Cent/kWh
03.04.2023 01:00:00;03.04.2023 02:00:00;9.64;Cent/kWh
03.04.2023 02:00:00;03.04.2023 03:00:00;9.39;Cent/kWh
03.04.2023 03:00:00;03.04.2023 04:00:00;9.31;Cent/kWh
03.04.2023 04:00:00;03.04.2023 05:00:00;10.04;Cent/kWh
03.04.2023 05:00:00;03.04.2023 06:00:00;11.01;Cent/kWh
03.04.2023 06:00:00;03.04.2023 07:00:00;13.80;Cent/kWh
03.04.2023 07:00:00;03.04.2023 08:00:00;16.46;Cent/kWh
03.04.2023 08:00:00;03.04.2023 09:00:00;13.21;Cent/kWh
03.04.2023 09:00:00;03.04.2023 10:00:00;12.49;Cent/kWh
03.04.2023 10:00:00;03.04.2023 11:00:00;10.71;Cent/kWh
03.04.2023 11:00:00;03.04.2023 12:00:00;9.31;Cent/kWh
03.04.2023 12:00:00;03.04.2023 13:00:00;8.29;Cent/kWh
03.04.2023 13:00:00;03.04.2023 14:00:00;7.95;Cent/kWh
03.04.2023 14:00:00;03.04.2023 15:00:00;7.12;Cent/kWh
03.04.2023 15:00:00;03.04.2023 16:00:00;7.89;Cent/kWh
03.04.2023 16:00:00;03.04.2023 17:00:00;8.20;Cent/kWh
03.04.2023 17:00:00;03.04.2023 18:00:00;10.04;Cent/kWh
03.04.2023 18:00:00;03.04.2023 19:00:00;13.38;Cent/kWh
03.04.2023 19:00:00;03.04.2023 20:00:00;15.81;Cent/kWh
03.04.2023 20:00:00;03.04.2023 21:00:00;14.13;Cent/kWh
03.04.2023 21:00:00;03.04.2023 22:00:00;13.00;Cent/kWh
03.04.2023 22:00:00;03.04.2023 23:00:00;12.99;Cent/kWh
03.04.2023 23:00:00;04.04.2023 00:00:00;11.31;Cent/kWh
04.04.2023 00:00:00;04.04.2023 01:00:00;11.09;Cent/kWh
04.04.2023 01:00:00;04.04.2023 02:00:00;10.96;Cent/kWh
04.04.2023 02:00:00;04.04.2023 03:00:00;10.84;Cent/kWh
04.04.2023 03:00:00;04.04.2023 04:00:00;10.78;Cent/kWh
04.04.2023 04:00:00;04.04.2023 05:00:00;11.08;Cent/kWh
04.04.2023 05:00:00;04.04.2023 06:00:00;12.19;Cent/kWh
04.04.2023 06:00:00;04.04.2023 07:00:00;14.21;Cent/kWh
04.04.2023 07:00:00;04.04.2023 08:00:00;17.63;Cent/kWh
04.04.2023 08:00:00;04.04.2023 09:00:00;14.65;Cent/kWh
04.04.2023 09:00:00;04.04.2023 10:00:00;13.11;Cent/kWh
04.04.2023 10:00:00;04.04.2023 11:00:00;11.59;Cent/kWh
04.04.2023 11:00:00;04.04.2023 12:00:00;11.20;Cent/kWh
