start;end;baseprice;unit
01.02.2022 00:00:00;01.02.2022 01:00:00;17.56;Cent/kWh
01.02.2022 01:00:00;01.02.2022 02:00:00;16.67;Cent/kWh
01.02.2022 02:00:00;01.02.2022 03:00:00;17.40;Cent/kWh
01.02.2022 03:00:00;01.02.2022 04:00:00;17.40;Cent/kWh
01.02.2022 04:00:00;01.02.2022 05:00:00;16.90;Cent/kWh
01.02.2022 05:00:00;01.02.2022 06:00:00;16.88;Cent/kWh
01.02.2022 06:00:00;01.02.2022 07:00:00;22.00;Cent/kWh
01.02.2022 07:00:00;01.02.2022 08:00:00;24.27;Cent/kWh
01.02.2022 08:00:00;01.02.2022 09:00:00;24.70;Cent/kWh
01.02.2022 09:00:00;01.02.2022 10:00:00;23.00;Cent/kWh
01.02.2022 10:00:00;01.02.2022 11:00:00;21.85;Cent/kWh
01.02.2022 11:00:00;01.02.2022 12:00:00;20.20;Cent/kWh
01.02.2022 12:00:00;01.02.2022 13:00:00;20.18;Cent/kWh
01.02.2022 13:00:00;01.02.2022 14:00:00;22.00;Cent/kWh
01.02.2022 14:00:00;01.02.2022 15:00:00;21.00;Cent/kWh
01.02.2022 15:00:00;01.02.2022 16:00:00;22.01;Cent/kWh
01.02.2022 16:00:00;01.02.2022 17:00:00;23.49;Cent/kWh
01.02.2022 17:00:00;01.02.2022 18:00:00;24.69;Cent/kWh
01.02.2022 18:00:00;01.02.2022 19:00:00;24.70;Cent/kWh
01.02.2022 19:00:00;01.02.2022 20:00:00;24.70;Cent/kWh
01.02.2022 20:00:00;01.02.2022 21:00:00;23.30;Cent/kWh
01.02.2022 21:00:00;01.02.2022 22:00:00;21.03;Cent/kWh
01.02.2022 22:00:00;01.02.2022 23:00:00;17.41;Cent/kWh
01.02.2022 23:00:00;02.02.2022 00:00:00;14.50;Cent/kWh
02.02.2022 00:00:00;02.02.2022 01:00:00;16.27;Cent/kWh
02.02.2022 01:00:00;02.02.2022 02:00:00;16.49;Cent/kWh
02.02.2022 02:00:00;02.02.2022 03:00:00;15.59;Cent/kWh
02.02.2022 03:00:00;02.02.2022 04:00:00;14.10;Cent/kWh
02.02.2022 04:00:00;02.02.2022 05:00:00;15.63;Cent/kWh
02.02.2022 05:00:00;02.02.2022 06:00:00;16.41;Cent/kWh
02.02.2022 06:00:00;02.02.2022 07:00:00;17.61;Cent/kWh
02.02.2022 07:00:00;02.02.2022 08:00:00;20.48;Cent/kWh
02.02.2022 08:00:00;02.02.2022 09:00:00;21.01;Cent/kWh
02.02.2022 09:00:00;02.02.2022 10:00:00;21.59;Cent/kWh
02.02.2022 10:00:00;02.02.2022 11:00:00;22.01;Cent/kWh
02.02.2022 11:00:00;02.02.2022 12:00:00;17.60;Cent/kWh
02.02.2022 12:00:00;02.02.2022 13:00:00;17.40;Cent/kWh
