start;end;baseprice;unit
01.06.2021 00:00:00;01.06.2021 01:00:00;6.20;Cent/kWh
01.06.2021 01:00:00;01.06.2021 02:00:00;5.89;Cent/kWh
01.06.2021 02:00:00;01.06.2021 03:00:00;5.65;Cent/kWh
01.06.2021 03:00:00;01.06.2021 04:00:00;5.62;Cent/kWh
01.06.2021 04:00:00;01.06.2021 05:00:00;5.70;Cent/kWh
01.06.2021 05:00:00;01.06.2021 06:00:00;6.20;Cent/kWh
01.06.2021 06:00:00;01.06.2021 07:00:00;7.89;Cent/kWh
01.06.2021 07:00:00;01.06.2021 08:00:00;8.58;Cent/kWh
01.06.2021 08:00:00;01.06.2021 09:00:00;8.71;Cent/kWh
01.06.2021 09:00:00;01.06.2021 10:00:00;7.82;Cent/kWh
01.06.2021 10:00:00;01.06.2021 11:00:00;6.50;Cent/kWh
01.06.2021 11:00:00;01.06.2021 12:00:00;6.11;Cent/kWh
01.06.2021 12:00:00;01.06.2021 13:00:00;5.81;Cent/kWh
01.06.2021 13:00:00;01.06.2021 14:00:00;5.61;Cent/kWh
01.06.2021 14:00:00;01.06.2021 15:00:00;5.54;Cent/kWh
01.06.2021 15:00:00;01.06.2021 16:00:00;5.69;Cent/kWh
01.06.2021 16:00:00;01.06.2021 17:00:00;5.81;Cent/kWh
01.06.2021 17:00:00;01.06.2021 18:00:00;7.06;Cent/kWh
01.06.2021 18:00:00;01.06.2021 19:00:00;7.94;Cent/kWh
01.06.2021 19:00:00;01.06.2021 20:00:00;8.67;Cent/kWh
01.06.2021 20:00:00;01.06.2021 21:00:00;8.51;Cent/kWh
01.06.2021 21:00:00;01.06.2021 22:00:00;8.05;Cent/kWh
01.06.2021 22:00:00;01.06.2021 23:00:00;7.53;Cent/kWh
01.06.2021 23:00:00;02.06.2021 00:00:00;6.71;Cent/kWh
02.06.2021 00:00:00;02.06.2021 01:00:00;6.50;Cent/kWh
02.06.2021 01:00:00;02.06.2021 02:00:00;6.14;Cent/kWh
02.06.2021 02:00:00;02.06.2021 03:00:00;5.92;Cent/kWh
02.06.2021 03:00:00;02.06.2021 04:00:00;6.00;Cent/kWh
02.06.2021 04:00:00;02.06.2021 05:00:00;5.87;Cent/kWh
02.06.2021 05:00:00;02.06.2021 06:00:00;6.37;Cent/kWh
02.06.2021 06:00:00;02.06.2021 07:00:00;7.62;Cent/kWh
02.06.2021 07:00:00;02.06.2021 08:00:00;8.16;Cent/kWh
02.06.2021 08:00:00;02.06.2021 09:00:00;8.11;Cent/kWh
02.06.2021 09:00:00;02.06.2021 10:00:00;7.23;Cent/kWh
02.06.2021 10:00:00;02.06.2021 11:00:00;6.24;Cent/kWh
02.06.2021 11:00:00;02.06.2021 12:00:00;5.73;Cent/kWh
02.06.2021 12:00:00;02.06.2021 13:00:00;5.57;Cent/kWh
02.06.2021 13:00:00;02.06.2021 14:00:00;5.40;Cent/kWh
02.06.2021 14:00:00;02.06.2021 15:00:00;5.38;Cent/kWh
02.06.2021 15:00:00;02.06.2021 16:00:00;5.39;Cent/kWh
02.06.2021 16:00:00;02.06.2021 17:00:00;5.69;Cent/kWh
02.06.2021 17:00:00;02.06.2021 18:00:00;6.75;Cent/kWh
02.06.2021 18:00:00;02.06.2021 19:00:00;7.85;Cent/kWh
02.06.2021 19:00:00;02.06.2021 20:00:00;8.33;Cent/kWh
02.06.2021 20:00:00;02.06.2021 21:00:00;8.29;Cent/kWh
02.06.2021 21:00:00;02.06.2021 22:00:00;7.82;Cent/kWh
02.06.2021 22:00:00;02.06.2021 23:00:00;7.39;Cent/kWh
