start;end;baseprice;unit
01.12.2021 00:00:00;01.12.2021 01:00:00;14.52;Cent/kWh
01.12.2021 01:00:00;01.12.2021 02:00:00;13.21;Cent/kWh
01.12.2021 02:00:00;01.12.2021 03:00:00;12.40;Cent/kWh
01.12.2021 03:00:00;01.12.2021 04:00:00;15.61;Cent/kWh
01.12.2021 04:00:00;01.12.2021 05:00:00;17.49;Cent/kWh
01.12.2021 05:00:00;01.12.2021 06:00:00;20.57;Cent/kWh
01.12.2021 06:00:00;01.12.2021 07:00:00;24.50;Cent/kWh
01.12.2021 07:00:00;01.12.2021 08:00:00;28.66;Cent/kWh
01.12.2021 08:00:00;01.12.2021 09:00:00;29.69;Cent/kWh
01.12.2021 09:00:00;01.12.2021 10:00:00;27.00;Cent/kWh
01.12.2021 10:00:00;01.12.2021 11:00:00;27.00;Cent/kWh
01.12.2021 11:00:00;01.12.2021 12:00:00;28.70;Cent/kWh
01.12.2021 12:00:00;01.12.2021 13:00:00;25.34;Cent/kWh
01.12.2021 13:00:00;01.12.2021 14:00:00;28.06;Cent/kWh
01.12.2021 14:00:00;01.12.2021 15:00:00;27.08;Cent/kWh
01.12.2021 15:00:00;01.12.2021 16:00:00;28.44;Cent/kWh
01.12.2021 16:00:00;01.12.2021 17:00:00;31.00;Cent/kWh
01.12.2021 17:00:00;01.12.2021 18:00:00;33.37;Cent/kWh
01.12.2021 18:00:00;01.12.2021 19:00:00;33.40;Cent/kWh
01.12.2021 19:00:00;01.12.2021 20:00:00;29.17;Cent/kWh
01.12.2021 20:00:00;01.12.2021 21:00:00;27.07;Cent/kWh
01.12.2021 21:00:00;01.12.2021 22:00:00;23.81;Cent/kWh
01.12.2021 22:00:00;01.12.2021 23:00:00;21.01;Cent/kWh
01.12.2021 23:00:00;02.12.2021 00:00:00;18.36;Cent/kWh
02.12.2021 00:00:00;02.12.2021 01:00:00;11.86;Cent/kWh
02.12.2021 01:00:00;02.12.2021 02:00:00;15.81;Cent/kWh
02.12.2021 02:00:00;02.12.2021 03:00:00;15.94;Cent/kWh
02.12.2021 03:00:00;02.12.2021 04:00:00;16.97;Cent/kWh
02.12.2021 04:00:00;02.12.2021 05:00:00;17.59;Cent/kWh
02.12.2021 05:00:00;02.12.2021 06:00:00;21.20;Cent/kWh
02.12.2021 06:00:00;02.12.2021 07:00:00;24.79;Cent/kWh
02.12.2021 07:00:00;02.12.2021 08:00:00;29.69;Cent/kWh
02.12.2021 08:00:00;02.12.2021 09:00:00;32.00;Cent/kWh
02.12.2021 09:00:00;02.12.2021 10:00:00;30.49;Cent/kWh
02.12.2021 10:00:00;02.12.2021 11:00:00;29.50;Cent/kWh
02.12.2021 11:00:00;02.12.2021 12:00:00;29.80;Cent/kWh
02.12.2021 12:00:00;02.12.2021 13:00:00;29.50;Cent/kWh
02.12.2021 13:00:00;02.12.2021 14:00:00;29.40;Cent/kWh
02.12.2021 14:00:00;02.12.2021 15:00:00;29.21;Cent/kWh
02.12.2021 15:00:00;02.12.2021 16:00:00;30.50;Cent/kWh
02.12.2021 16:00:00;02.12.2021 17:00:00;32.78;Cent/kWh
02.12.2021 17:00:00;02.12.2021 18:00:00;35.50;Cent/kWh
02.12.2021 18:00:00;02.12.2021 19:00:00;33.47;Cent/kWh
02.12.2021 19:00:00;02.12.2021 20:00:00;30.04;Cent/kWh
02.12.2021 20:00:00;02.12.2021 21:00:00;27.32;Cent/kWh
02.12.2021 21:00:00;02.12.2021 22:00:00;24.15;Cent/kWh
02.12.2021 22:00:00;02.12.2021 23:00:00;21.45;Cent/kWh
02.12.2021 23:00:00;03.12.2021 00:00:00;18.63;Cent/kWh
03.12.2021 00:00:00;03.12.2021 01:00:00;19.01;Cent/kWh
03.12.2021 01:00:00;03.12.2021 02:00:00;15.94;Cent/kWh
03.12.2021 02:00:00;03.12.2021 03:00:00;15.37;Cent/kWh
03.12.2021 03:00:00;03.12.2021 04:00:00;14.69;Cent/kWh
03.12.2021 04:00:00;03.12.2021 05:00:00;14.90;Cent/kWh
03.12.2021 05:00:00;03.12.2021 06:00:00;16.79;Cent/kWh
03.12.2021 06:00:00;03.12.2021 07:00:00;26.27;Cent/kWh
03.12.2021 07:00:00;03.12.2021 08:00:00;28.93;Cent/kWh
03.12.2021 08:00:00;03.12.2021 09:00:00;30.18;Cent/kWh
03.12.2021 09:00:00;03.12.2021 10:00:00;29.30;Cent/kWh
03.12.2021 10:00:00;03.12.2021 11:00:00;27.94;Cent/kWh
03.12.2021 11:00:00;03.12.2021 12:00:00;27.01;Cent/kWh
03.12.2021 12:00:00;03.12.2021 13:00:00;24.50;Cent/kWh
03.12.2021 13:00:00;03.12.2021 14:00:00;25.48;Cent/kWh
03.12.2021 14:00:00;03.12.2021 15:00:00;27.26;Cent/kWh
03.12.2021 15:00:00;03.12.2021 16:00:00;28.16;Cent/kWh
03.12.2021 16:00:00;03.12.2021 17:00:00;29.50;Cent/kWh
03.12.2021 17:00:00;03.12.2021 18:00:00;29.60;Cent/kWh
03.12.2021 18:00:00;03.12.2021 19:00:00;29.29;Cent/kWh
03.12.2021 19:00:00;03.12.2021 20:00:00;24.19;Cent/kWh
03.12.2021 20:00:00;03.12.2021 21:00:00;20.94;Cent/kWh
03.12.2021 21:00:00;03.12.2021 22:00:00;19.74;Cent/kWh
03.12.2021 22:00:00;03.12.2021 23:00:00;18.10;Cent/kWh
03.12.2021 23:00:00;04.12.2021 00:00:00;15.04;Cent/kWh
04.12.2021 00:00:00;04.12.2021 01:00:00;16.13;Cent/kWh
04.12.2021 01:00:00;04.12.2021 02:00:00;15.56;Cent/kWh
04.12.2021 02:00:00;04.12.2021 03:00:00;18.08;Cent/kWh
