start;end;baseprice;unit
01.03.2023 00:00:00;01.03.2023 01:00:00;13.60;Cent/kWh
01.03.2023 01:00:00;01.03.2023 02:00:00;12.34;Cent/kWh
01.03.2023 02:00:00;01.03.2023 03:00:00;11.80;Cent/kWh
01.03.2023 03:00:00;01.03.2023 04:00:00;12.98;Cent/kWh
01.03.2023 04:00:00;01.03.2023 05:00:00;13.07;Cent/kWh
01.03.2023 05:00:00;01.03.2023 06:00:00;14.09;Cent/kWh
01.03.2023 06:00:00;01.03.2023 07:00:00;16.32;Cent/kWh
01.03.2023 07:00:00;01.03.2023 08:00:00;18.57;Cent/kWh
01.03.2023 08:00:00;01.03.2023 09:00:00;18.60;Cent/kWh
01.03.2023 09:00:00;01.03.2023 10:00:00;17.23;Cent/kWh
01.03.2023 10:00:00;01.03.2023 11:00:00;16.00;Cent/kWh
01.03.2023 11:00:00;01.03.2023 12:00:00;15.69;Cent/kWh
01.03.2023 12:00:00;01.03.2023 13:00:00;14.72;Cent/kWh
01.03.2023 13:00:00;01.03.2023 14:00:00;14.34;Cent/kWh
01.03.2023 14:00:00;01.03.2023 15:00:00;14.49;Cent/kWh
01.03.2023 15:00:00;01.03.2023 16:00:00;14.68;Cent/kWh
01.03.2023 16:00:00;01.03.2023 17:00:00;15.26;Cent/kWh
01.03.2023 17:00:00;01.03.2023 18:00:00;16.47;Cent/kWh
01.03.2023 18:00:00;01.03.2023 19:00:00;18.48;Cent/kWh
01.03.2023 19:00:00;01.03.2023 20:00:00;17.01;Cent/kWh
01.03.2023 20:00:00;01.03.2023 21:00:00;16.76;Cent/kWh
01.03.2023 21:00:00;01.03.2023 22:00:00;14.50;Cent/kWh
01.03.2023 22:00:00;01.03.2023 23:00:00;14.50;Cent/kWh
01.03.2023 23:00:00;02.03.2023 00:00:00;13.08;Cent/kWh
02.03.2023 00:00:00;02.03.2023 01:00:00;13.05;Cent/kWh
02.03.2023 01:00:00;02.03.2023 02:00:00;13.26;Cent/kWh
02.03.2023 02:00:00;02.03.2023 03:00:00;13.34;Cent/kWh
02.03.2023 03:00:00;02.03.2023 04:00:00;12.69;Cent/kWh
02.03.2023 04:00:00;02.03.2023 05:00:00;12.26;Cent/kWh
02.03.2023 05:00:00;02.03.2023 06:00:00;13.61;Cent/kWh
02.03.2023 06:00:00;02.03.2023 07:00:00;16.11;Cent/kWh
02.03.2023 07:00:00;02.03.2023 08:00:00;17.65;Cent/kWh
02.03.2023 08:00:00;02.03.2023 09:00:00;16.39;Cent/kWh
02.03.2023 09:00:00;02.03.2023 10:00:00;15.70;Cent/kWh
02.03.2023 10:00:00;02.03.2023 11:00:00;15.30;Cent/kWh
02.03.2023 11:00:00;02.03.2023 12:00:00;15.60;Cent/kWh
02.03.2023 12:00:00;02.03.2023 13:00:00;14.84;Cent/kWh
02.03.2023 13:00:00;02.03.2023 14:00:00;14.55;Cent/kWh
02.03.2023 14:00:00;02.03.2023 15:00:00;15.46;Cent/kWh
02.03.2023 15:00:00;02.03.2023 16:00:00;15.00;Cent/kWh
02.03.2023 16:00:00;02.03.2023 17:00:00;15.31;Cent/kWh
02.03.2023 17:00:00;02.03.2023 18:00:00;16.93;Cent/kWh
02.03.2023 18:00:00;02.03.2023 19:00:00;19.16;Cent/kWh
02.03.2023 19:00:00;02.03.2023 20:00:00;18.67;Cent/kWh
02.03.2023 20:00:00;02.03.2023 21:00:00;16.72;Cent/kWh
02.03.2023 21:00:00;02.03.2023 22:00:00;15.99;Cent/kWh
02.03.2023 22:00:00;02.03.2023 23:00:00;15.29;Cent/kWh
02.03.2023 23:00:00;03.03.2023 00:00:00;13.69;Cent/kWh
03.03.2023 00:00:00;03.03.2023 01:00:00;14.17;Cent/kWh
03.03.2023 01:00:00;03.03.2023 02:00:00;13.31;Cent/kWh
03.03.2023 02:00:00;03.03.2023 03:00:00;13.30;Cent/kWh
03.03.2023 03:00:00;03.03.2023 04:00:00;13.22;Cent/kWh
03.03.2023 04:00:00;03.03.2023 05:00:00;13.18;Cent/kWh
03.03.2023 05:00:00;03.03.2023 06:00:00;13.79;Cent/kWh
03.03.2023 06:00:00;03.03.2023 07:00:00;16.22;Cent/kWh
