start;end;baseprice;unit
01.07.2022 00:00:00;01.07.2022 01:00:00;33.31;Cent/kWh
01.07.2022 01:00:00;01.07.2022 02:00:00;29.80;Cent/kWh
01.07.2022 02:00:00;01.07.2022 03:00:00;27.80;Cent/kWh
01.07.2022 03:00:00;01.07.2022 04:00:00;26.73;Cent/kWh
01.07.2022 04:00:00;01.07.2022 05:00:00;26.70;Cent/kWh
01.07.2022 05:00:00;01.07.2022 06:00:00;28.21;Cent/kWh
01.07.2022 06:00:00;01.07.2022 07:00:00;35.52;Cent/kWh
01.07.2022 07:00:00;01.07.2022 08:00:00;37.89;Cent/kWh
01.07.2022 08:00:00;01.07.2022 09:00:00;38.52;Cent/kWh
01.07.2022 09:00:00;01.07.2022 10:00:00;37.80;Cent/kWh
01.07.2022 10:00:00;01.07.2022 11:00:00;36.76;Cent/kWh
01.07.2022 11:00:00;01.07.2022 12:00:00;35.98;Cent/kWh
01.07.2022 12:00:00;01.07.2022 13:00:00;33.47;Cent/kWh
01.07.2022 13:00:00;01.07.2022 14:00:00;32.71;Cent/kWh
01.07.2022 14:00:00;01.07.2022 15:00:00;32.55;Cent/kWh
01.07.2022 15:00:00;01.07.2022 16:00:00;33.29;Cent/kWh
01.07.2022 16:00:00;01.07.2022 17:00:00;31.00;Cent/kWh
01.07.2022 17:00:00;01.07.2022 18:00:00;31.59;Cent/kWh
01.07.2022 18:00:00;01.07.2022 19:00:00;33.07;Cent/kWh
01.07.2022 19:00:00;01.07.2022 20:00:00;34.13;Cent/kWh
01.07.2022 20:00:00;01.07.2022 21:00:00;34.84;Cent/kWh
01.07.2022 21:00:00;01.07.2022 22:00:00;35.69;Cent/kWh
01.07.2022 22:00:00;01.07.2022 23:00:00;38.50;Cent/kWh
01.07.2022 23:00:00;02.07.2022 00:00:00;36.17;Cent/kWh
02.07.2022 00:00:00;02.07.2022 01:00:00;28.57;Cent/kWh
02.07.2022 01:00:00;02.07.2022 02:00:00;25.50;Cent/kWh
02.07.2022 02:00:00;02.07.2022 03:00:00;23.72;Cent/kWh
02.07.2022 03:00:00;02.07.2022 04:00:00;23.07;Cent/kWh
02.07.2022 04:00:00;02.07.2022 05:00:00;22.23;Cent/kWh
02.07.2022 05:00:00;02.07.2022 06:00:00;21.42;Cent/kWh
02.07.2022 06:00:00;02.07.2022 07:00:00;23.38;Cent/kWh
02.07.2022 07:00:00;02.07.2022 08:00:00;24.46;Cent/kWh
02.07.2022 08:00:00;02.07.2022 09:00:00;20.93;Cent/kWh
02.07.2022 09:00:00;02.07.2022 10:00:00;25.30;Cent/kWh
02.07.2022 10:00:00;02.07.2022 11:00:00;22.46;Cent/kWh
02.07.2022 11:00:00;02.07.2022 12:00:00;13.86;Cent/kWh
02.07.2022 12:00:00;02.07.2022 13:00:00;18.24;Cent/kWh
02.07.2022 13:00:00;02.07.2022 14:00:00;26.12;Cent/kWh
02.07.2022 14:00:00;02.07.2022 15:00:00;16.21;Cent/kWh
02.07.2022 15:00:00;02.07.2022 16:00:00;26.70;Cent/kWh
02.07.2022 16:00:00;02.07.2022 17:00:00;26.00;Cent/kWh
02.07.2022 17:00:00;02.07.2022 18:00:00;24.12;Cent/kWh
02.07.2022 18:00:00;02.07.2022 19:00:00;28.50;Cent/kWh
02.07.2022 19:00:00;02.07.2022 20:00:00;35.00;Cent/kWh
02.07.2022 20:00:00;02.07.2022 21:00:00;36.29;Cent/kWh
02.07.2022 21:00:00;02.07.2022 22:00:00;36.00;Cent/kWh
02.07.2022 22:00:00;02.07.2022 23:00:00;35.34;Cent/kWh
02.07.2022 23:00:00;03.07.2022 00:00:00;30.22;Cent/kWh
03.07.2022 00:00:00;03.07.2022 01:00:00;27.01;Cent/kWh
03.07.2022 01:00:00;03.07.2022 02:00:00;24.31;Cent/kWh
03.07.2022 02:00:00;03.07.2022 03:00:00;19.91;Cent/kWh
03.07.2022 03:00:00;03.07.2022 04:00:00;19.56;Cent/kWh
03.07.2022 04:00:00;03.07.2022 05:00:00;18.56;Cent/kWh
03.07.2022 05:00:00;03.07.2022 06:00:00;18.27;Cent/kWh
03.07.2022 06:00:00;03.07.2022 07:00:00;17.67;Cent/kWh
03.07.2022 07:00:00;03.07.2022 08:00:00;19.23;Cent/kWh
03.07.2022 08:00:00;03.07.2022 09:00:00;18.51;Cent/kWh
03.07.2022 09:00:00;03.07.2022 10:00:00;17.03;Cent/kWh
03.07.2022 10:00:00;03.07.2022 11:00:00;12.82;Cent/kWh
03.07.2022 11:00:00;03.07.2022 12:00:00;13.65;Cent/kWh
03.07.2022 12:00:00;03.07.2022 13:00:00;19.98;Cent/kWh
03.07.2022 13:00:00;03.07.2022 14:00:00;20.88;Cent/kWh
03.07.2022 14:00:00;03.07.2022 15:00:00;19.43;Cent/kWh
03.07.2022 15:00:00;03.07.2022 16:00:00;22.48;Cent/kWh
03.07.2022 16:00:00;03.07.2022 17:00:00;12.38;Cent/kWh
03.07.2022 17:00:00;03.07.2022 18:00:00;21.40;Cent/kWh
03.07.2022 18:00:00;03.07.2022 19:00:00;27.28;Cent/kWh
03.07.2022 19:00:00;03.07.2022 20:00:00;32.70;Cent/kWh
03.07.2022 20:00:00;03.07.2022 21:00:00;34.01;Cent/kWh
03.07.2022 21:00:00;03.07.2022 22:00:00;34.84;Cent/kWh
03.07.2022 22:00:00;03.07.2022 23:00:00;34.85;Cent/kWh
03.07.2022 23:00:00;04.07.2022 00:00:00;33.31;Cent/kWh
04.07.2022 00:00:00;04.07.2022 01:00:00;31.97;Cent/kWh
04.07.2022 01:00:00;04.07.2022 02:00:00;27.78;Cent/kWh
04.07.2022 02:00:00;04.07.2022 03:00:00;26.50;Cent/kWh
04.07.2022 03:00:00;04.07.2022 04:00:00;25.44;Cent/kWh
04.07.2022 04:00:00;04.07.2022 05:00:00;25.80;Cent/kWh
04.07.2022 05:00:00;04.07.2022 06:00:00;30.24;Cent/kWh
04.07.2022 06:00:00;04.07.2022 07:00:00;36.19;Cent/kWh
04.07.2022 07:00:00;04.07.2022 08:00:00;37.60;Cent/kWh
04.07.2022 08:00:00;04.07.2022 09:00:00;38.52;Cent/kWh
04.07.2022 09:00:00;04.07.2022 10:00:00;36.60;Cent/kWh
04.07.2022 10:00:00;04.07.2022 11:00:00;35.99;Cent/kWh
04.07.2022 11:00:00;04.07.2022 12:00:00;35.49;Cent/kWh
