start;end;baseprice;unit
01.01.2022 00:00:00;01.01.2022 01:00:00;6.18;Cent/kWh
01.01.2022 01:00:00;01.01.2022 02:00:00;5.14;Cent/kWh
01.01.2022 02:00:00;01.01.2022 03:00:00;5.59;Cent/kWh
01.01.2022 03:00:00;01.01.2022 04:00:00;4.69;Cent/kWh
01.01.2022 04:00:00;01.01.2022 05:00:00;3.77;Cent/kWh
01.01.2022 05:00:00;01.01.2022 06:00:00;3.97;Cent/kWh
01.01.2022 06:00:00;01.01.2022 07:00:00;4.06;Cent/kWh
01.01.2022 07:00:00;01.01.2022 08:00:00;4.33;Cent/kWh
01.01.2022 08:00:00;01.01.2022 09:00:00;4.97;Cent/kWh
01.01.2022 09:00:00;01.01.2022 10:00:00;7.01;Cent/kWh
01.01.2022 10:00:00;01.01.2022 11:00:00;7.68;Cent/kWh
01.01.2022 11:00:00;01.01.2022 12:00:00;8.41;Cent/kWh
01.01.2022 12:00:00;01.01.2022 13:00:00;9.47;Cent/kWh
01.01.2022 13:00:00;01.01.2022 14:00:00;9.68;Cent/kWh
01.01.2022 14:00:00;01.01.2022 15:00:00;9.72;Cent/kWh
01.01.2022 15:00:00;01.01.2022 16:00:00;10.10;Cent/kWh
01.01.2022 16:00:00;01.01.2022 17:00:00;12.66;Cent/kWh
01.01.2022 17:00:00;01.01.2022 18:00:00;15.00;Cent/kWh
01.01.2022 18:00:00;01.01.2022 19:00:00;14.63;Cent/kWh
01.01.2022 19:00:00;01.01.2022 20:00:00;14.03;Cent/kWh
01.01.2022 20:00:00;01.01.2022 21:00:00;12.19;Cent/kWh
01.01.2022 21:00:00;01.01.2022 22:00:00;10.26;Cent/kWh
01.01.2022 22:00:00;01.01.2022 23:00:00;9.75;Cent/kWh
01.01.2022 23:00:00;02.01.2022 00:00:00;8.52;Cent/kWh
02.01.2022 00:00:00;02.01.2022 01:00:00;5.71;Cent/kWh
02.01.2022 01:00:00;02.01.2022 02:00:00;5.26;Cent/kWh
02.01.2022 02:00:00;02.01.2022 03:00:00;4.90;Cent/kWh
02.01.2022 03:00:00;02.01.2022 04:00:00;3.49;Cent/kWh
02.01.2022 04:00:00;02.01.2022 05:00:00;2.96;Cent/kWh
02.01.2022 05:00:00;02.01.2022 06:00:00;3.40;Cent/kWh
02.01.2022 06:00:00;02.01.2022 07:00:00;3.45;Cent/kWh
02.01.2022 07:00:00;02.01.2022 08:00:00;4.18;Cent/kWh
02.01.2022 08:00:00;02.01.2022 09:00:00;4.90;Cent/kWh
02.01.2022 09:00:00;02.01.2022 10:00:00;6.00;Cent/kWh
02.01.2022 10:00:00;02.01.2022 11:00:00;7.01;Cent/kWh
02.01.2022 11:00:00;02.01.2022 12:00:00;6.63;Cent/kWh
02.01.2022 12:00:00;02.01.2022 13:00:00;6.45;Cent/kWh
02.01.2022 13:00:00;02.01.2022 14:00:00;4.70;Cent/kWh
02.01.2022 14:00:00;02.01.2022 15:00:00;6.52;Cent/kWh
02.01.2022 15:00:00;02.01.2022 16:00:00;6.01;Cent/kWh
02.01.2022 16:00:00;02.01.2022 17:00:00;8.85;Cent/kWh
02.01.2022 17:00:00;02.01.2022 18:00:00;9.54;Cent/kWh
02.01.2022 18:00:00;02.01.2022 19:00:00;8.67;Cent/kWh
02.01.2022 19:00:00;02.01.2022 20:00:00;7.17;Cent/kWh
02.01.2022 20:00:00;02.01.2022 21:00:00;5.67;Cent/kWh
02.01.2022 21:00:00;02.01.2022 22:00:00;4.62;Cent/kWh
02.01.2022 22:00:00;02.01.2022 23:00:00;4.63;Cent/kWh
02.01.2022 23:00:00;03.01.2022 00:00:00;3.29;Cent/kWh
03.01.2022 00:00:00;03.01.2022 01:00:00;2.09;Cent/kWh
03.01.2022 01:00:00;03.01.2022 02:00:00;0.97;Cent/kWh
03.01.2022 02:00:00;03.01.2022 03:00:00;0.97;Cent/kWh
03.01.2022 03:00:00;03.01.2022 04:00:00;0.71;Cent/kWh
03.01.2022 04:00:00;03.01.2022 05:00:00;0.90;Cent/kWh
03.01.2022 05:00:00;03.01.2022 06:00:00;1.53;Cent/kWh
03.01.2022 06:00:00;03.01.2022 07:00:00;6.12;Cent/kWh
03.01.2022 07:00:00;03.01.2022 08:00:00;8.92;Cent/kWh
03.01.2022 08:00:00;03.01.2022 09:00:00;13.15;Cent/kWh
03.01.2022 09:00:00;03.01.2022 10:00:00;12.59;Cent/kWh
03.01.2022 10:00:00;03.01.2022 11:00:00;10.10;Cent/kWh
03.01.2022 11:00:00;03.01.2022 12:00:00;9.36;Cent/kWh
03.01.2022 12:00:00;03.01.2022 13:00:00;8.64;Cent/kWh
03.01.2022 13:00:00;03.01.2022 14:00:00;8.50;Cent/kWh
03.01.2022 14:00:00;03.01.2022 15:00:00;8.72;Cent/kWh
03.01.2022 15:00:00;03.01.2022 16:00:00;10.24;Cent/kWh
03.01.2022 16:00:00;03.01.2022 17:00:00;12.45;Cent/kWh
03.01.2022 17:00:00;03.01.2022 18:00:00;14.85;Cent/kWh
03.01.2022 18:00:00;03.01.2022 19:00:00;14.81;Cent/kWh
03.01.2022 19:00:00;03.01.2022 20:00:00;13.35;Cent/kWh
03.01.2022 20:00:00;03.01.2022 21:00:00;12.50;Cent/kWh
03.01.2022 21:00:00;03.01.2022 22:00:00;9.89;Cent/kWh
03.01.2022 22:00:00;03.01.2022 23:00:00;10.84;Cent/kWh
03.01.2022 23:00:00;04.01.2022 00:00:00;9.69;Cent/kWh
04.01.2022 00:00:00;04.01.2022 01:00:00;11.01;Cent/kWh
04.01.2022 01:00:00;04.01.2022 02:00:00;11.02;Cent/kWh
04.01.2022 02:00:00;04.01.2022 03:00:00;10.69;Cent/kWh
04.01.2022 03:00:00;04.01.2022 04:00:00;10.41;Cent/kWh
04.01.2022 04:00:00;04.01.2022 05:00:00;10.34;Cent/kWh
04.01.2022 05:00:00;04.01.2022 06:00:00;11.45;Cent/kWh
04.01.2022 06:00:00;04.01.2022 07:00:00;15.69;Cent/kWh
04.01.2022 07:00:00;04.01.2022 08:00:00;18.26;Cent/kWh
04.01.2022 08:00:00;04.01.2022 09:00:00;17.89;Cent/kWh
04.01.2022 09:00:00;04.01.2022 10:00:00;19.00;Cent/kWh
04.01.2022 10:00:00;04.01.2022 11:00:00;18.99;Cent/kWh
04.01.2022 11:00:00;04.01.2022 12:00:00;18.24;Cent/kWh
04.01.2022 12:00:00;04.01.2022 13:00:00;18.25;Cent/kWh
04.01.2022 13:00:00;04.01.2022 14:00:00;17.96;Cent/kWh
04.01.2022 14:00:00;04.01.2022 15:00:00;17.90;Cent/kWh
04.01.2022 15:00:00;04.01.2022 16:00:00;18.09;Cent/kWh
04.01.2022 16:00:00;04.01.2022 17:00:00;16.67;Cent/kWh
04.01.2022 17:00:00;04.01.2022 18:00:00;18.99;Cent/kWh
04.01.2022 18:00:00;04.01.2022 19:00:00;18.49;Cent/kWh
04.01.2022 19:00:00;04.01.2022 20:00:00;17.90;Cent/kWh
04.01.2022 20:00:00;04.01.2022 21:00:00;15.61;Cent/kWh
04.01.2022 21:00:00;04.01.2022 22:00:00;14.31;Cent/kWh
04.01.2022 22:00:00;04.01.2022 23:00:00;13.79;Cent/kWh
04.01.2022 23:00:00;05.01.2022 00:00:00;9.95;Cent/kWh
05.01.2022 00:00:00;05.01.2022 01:00:00;10.99;Cent/kWh
05.01.2022 01:00:00;05.01.2022 02:00:00;9.97;Cent/kWh
05.01.2022 02:00:00;05.01.2022 03:00:00;8.45;Cent/kWh
05.01.2022 03:00:00;05.01.2022 04:00:00;7.54;Cent/kWh
05.01.2022 04:00:00;05.01.2022 05:00:00;7.91;Cent/kWh
05.01.2022 05:00:00;05.01.2022 06:00:00;9.48;Cent/kWh
05.01.2022 06:00:00;05.01.2022 07:00:00;11.80;Cent/kWh
05.01.2022 07:00:00;05.01.2022 08:00:00;13.45;Cent/kWh
05.01.2022 08:00:00;05.01.2022 09:00:00;15.46;Cent/kWh
05.01.2022 09:00:00;05.01.2022 10:00:00;14.72;Cent/kWh
05.01.2022 10:00:00;05.01.2022 11:00:00;13.86;Cent/kWh
05.01.2022 11:00:00;05.01.2022 12:00:00;13.00;Cent/kWh
05.01.2022 12:00:00;05.01.2022 13:00:00;13.20;Cent/kWh
05.01.2022 13:00:00;05.01.2022 14:00:00;13.07;Cent/kWh
05.01.2022 14:00:00;05.01.2022 15:00:00;13.46;Cent/kWh
05.01.2022 15:00:00;05.01.2022 16:00:00;14.66;Cent/kWh
05.01.2022 16:00:00;05.01.2022 17:00:00;16.12;Cent/kWh
05.01.2022 17:00:00;05.01.2022 18:00:00;17.88;Cent/kWh
05.01.2022 18:00:00;05.01.2022 19:00:00;17.96;Cent/kWh
05.01.2022 19:00:00;05.01.2022 20:00:00;17.57;Cent/kWh
05.01.2022 20:00:00;05.01.2022 21:00:00;15.86;Cent/kWh
