start;end;baseprice;unit
01.03.2022 00:00:00;01.03.2022 01:00:00;19.27;Cent/kWh
01.03.2022 01:00:00;01.03.2022 02:00:00;17.46;Cent/kWh
01.03.2022 02:00:00;01.03.2022 03:00:00;17.55;Cent/kWh
01.03.2022 03:00:00;01.03.2022 04:00:00;18.00;Cent/kWh
01.03.2022 04:00:00;01.03.2022 05:00:00;18.58;Cent/kWh
01.03.2022 05:00:00;01.03.2022 06:00:00;20.48;Cent/kWh
01.03.2022 06:00:00;01.03.2022 07:00:00;26.80;Cent/kWh
01.03.2022 07:00:00;01.03.2022 08:00:00;28.99;Cent/kWh
01.03.2022 08:00:00;01.03.2022 09:00:00;28.89;Cent/kWh
01.03.2022 09:00:00;01.03.2022 10:00:00;23.77;Cent/kWh
01.03.2022 10:00:00;01.03.2022 11:00:00;20.00;Cent/kWh
01.03.2022 11:00:00;01.03.2022 12:00:00;25.84;Cent/kWh
01.03.2022 12:00:00;01.03.2022 13:00:00;23.87;Cent/kWh
01.03.2022 13:00:00;01.03.2022 14:00:00;22.15;Cent/kWh
01.03.2022 14:00:00;01.03.2022 15:00:00;23.50;Cent/kWh
01.03.2022 15:00:00;01.03.2022 16:00:00;26.12;Cent/kWh
01.03.2022 16:00:00;01.03.2022 17:00:00;28.32;Cent/kWh
01.03.2022 17:00:00;01.03.2022 18:00:00;31.59;Cent/kWh
01.03.2022 18:00:00;01.03.2022 19:00:00;36.28;Cent/kWh
01.03.2022 19:00:00;01.03.2022 20:00:00;35.41;Cent/kWh
01.03.2022 20:00:00;01.03.2022 21:00:00;31.59;Cent/kWh
01.03.2022 21:00:00;01.03.2022 22:00:00;28.60;Cent/kWh
01.03.2022 22:00:00;01.03.2022 23:00:00;26.69;Cent/kWh
01.03.2022 23:00:00;02.03.2022 00:00:00;24.90;Cent/kWh
02.03.2022 00:00:00;02.03.2022 01:00:00;25.10;Cent/kWh
02.03.2022 01:00:00;02.03.2022 02:00:00;24.84;Cent/kWh
02.03.2022 02:00:00;02.03.2022 03:00:00;24.21;Cent/kWh
02.03.2022 03:00:00;02.03.2022 04:00:00;23.31;Cent/kWh
02.03.2022 04:00:00;02.03.2022 05:00:00;23.36;Cent/kWh
02.03.2022 05:00:00;02.03.2022 06:00:00;25.00;Cent/kWh
02.03.2022 06:00:00;02.03.2022 07:00:00;28.96;Cent/kWh
02.03.2022 07:00:00;02.03.2022 08:00:00;32.91;Cent/kWh
02.03.2022 08:00:00;02.03.2022 09:00:00;33.71;Cent/kWh
02.03.2022 09:00:00;02.03.2022 10:00:00;29.81;Cent/kWh
02.03.2022 10:00:00;02.03.2022 11:00:00;26.83;Cent/kWh
02.03.2022 11:00:00;02.03.2022 12:00:00;25.80;Cent/kWh
02.03.2022 12:00:00;02.03.2022 13:00:00;24.63;Cent/kWh
02.03.2022 13:00:00;02.03.2022 14:00:00;23.50;Cent/kWh
02.03.2022 14:00:00;02.03.2022 15:00:00;23.63;Cent/kWh
02.03.2022 15:00:00;02.03.2022 16:00:00;24.97;Cent/kWh
02.03.2022 16:00:00;02.03.2022 17:00:00;27.26;Cent/kWh
02.03.2022 17:00:00;02.03.2022 18:00:00;31.66;Cent/kWh
02.03.2022 18:00:00;02.03.2022 19:00:00;38.48;Cent/kWh
02.03.2022 19:00:00;02.03.2022 20:00:00;38.50;Cent/kWh
02.03.2022 20:00:00;02.03.2022 21:00:00;32.03;Cent/kWh
02.03.2022 21:00:00;02.03.2022 22:00:00;28.71;Cent/kWh
02.03.2022 22:00:00;02.03.2022 23:00:00;26.58;Cent/kWh
02.03.2022 23:00:00;03.03.2022 00:00:00;24.98;Cent/kWh
03.03.2022 00:00:00;03.03.2022 01:00:00;33.12;Cent/kWh
03.03.2022 01:00:00;03.03.2022 02:00:00;32.25;Cent/kWh
03.03.2022 02:00:00;03.03.2022 03:00:00;31.60;Cent/kWh
03.03.2022 03:00:00;03.03.2022 04:00:00;30.70;Cent/kWh
03.03.2022 04:00:00;03.03.2022 05:00:00;30.73;Cent/kWh
03.03.2022 05:00:00;03.03.2022 06:00:00;33.23;Cent/kWh
03.03.2022 06:00:00;03.03.2022 07:00:00;37.13;Cent/kWh
03.03.2022 07:00:00;03.03.2022 08:00:00;40.50;Cent/kWh
03.03.2022 08:00:00;03.03.2022 09:00:00;40.00;Cent/kWh
03.03.2022 09:00:00;03.03.2022 10:00:00;36.08;Cent/kWh
03.03.2022 10:00:00;03.03.2022 11:00:00;30.37;Cent/kWh
03.03.2022 11:00:00;03.03.2022 12:00:00;27.97;Cent/kWh
03.03.2022 12:00:00;03.03.2022 13:00:00;28.20;Cent/kWh
03.03.2022 13:00:00;03.03.2022 14:00:00;28.24;Cent/kWh
03.03.2022 14:00:00;03.03.2022 15:00:00;29.53;Cent/kWh
03.03.2022 15:00:00;03.03.2022 16:00:00;31.96;Cent/kWh
03.03.2022 16:00:00;03.03.2022 17:00:00;33.65;Cent/kWh
03.03.2022 17:00:00;03.03.2022 18:00:00;39.85;Cent/kWh
03.03.2022 18:00:00;03.03.2022 19:00:00;41.00;Cent/kWh
03.03.2022 19:00:00;03.03.2022 20:00:00;40.51;Cent/kWh
03.03.2022 20:00:00;03.03.2022 21:00:00;39.00;Cent/kWh
03.03.2022 21:00:00;03.03.2022 22:00:00;35.00;Cent/kWh
03.03.2022 22:00:00;03.03.2022 23:00:00;33.39;Cent/kWh
03.03.2022 23:00:00;04.03.2022 00:00:00;31.99;Cent/kWh
04.03.2022 00:00:00;04.03.2022 01:00:00;35.11;Cent/kWh
04.03.2022 01:00:00;04.03.2022 02:00:00;34.66;Cent/kWh
04.03.2022 02:00:00;04.03.2022 03:00:00;32.94;Cent/kWh
04.03.2022 03:00:00;04.03.2022 04:00:00;30.41;Cent/kWh
04.03.2022 04:00:00;04.03.2022 05:00:00;31.50;Cent/kWh
04.03.2022 05:00:00;04.03.2022 06:00:00;34.91;Cent/kWh
04.03.2022 06:00:00;04.03.2022 07:00:00;39.86;Cent/kWh
04.03.2022 07:00:00;04.03.2022 08:00:00;41.00;Cent/kWh
04.03.2022 08:00:00;04.03.2022 09:00:00;41.01;Cent/kWh
04.03.2022 09:00:00;04.03.2022 10:00:00;38.52;Cent/kWh
04.03.2022 10:00:00;04.03.2022 11:00:00;36.59;Cent/kWh
04.03.2022 11:00:00;04.03.2022 12:00:00;35.01;Cent/kWh
04.03.2022 12:00:00;04.03.2022 13:00:00;36.00;Cent/kWh
04.03.2022 13:00:00;04.03.2022 14:00:00;36.00;Cent/kWh
04.03.2022 14:00:00;04.03.2022 15:00:00;35.99;Cent/kWh
04.03.2022 15:00:00;04.03.2022 16:00:00;35.49;Cent/kWh
04.03.2022 16:00:00;04.03.2022 17:00:00;35.58;Cent/kWh
04.03.2022 17:00:00;04.03.2022 18:00:00;38.09;Cent/kWh
04.03.2022 18:00:00;04.03.2022 19:00:00;41.00;Cent/kWh
04.03.2022 19:00:00;04.03.2022 20:00:00;41.00;Cent/kWh
04.03.2022 20:00:00;04.03.2022 21:00:00;40.01;Cent/kWh
04.03.2022 21:00:00;04.03.2022 22:00:00;38.39;Cent/kWh
04.03.2022 22:00:00;04.03.2022 23:00:00;36.50;Cent/kWh
04.03.2022 23:00:00;05.03.2022 00:00:00;36.34;Cent/kWh
05.03.2022 00:00:00;05.03.2022 01:00:00;36.63;Cent/kWh
05.03.2022 01:00:00;05.03.2022 02:00:00;36.00;Cent/kWh
05.03.2022 02:00:00;05.03.2022 03:00:00;35.00;Cent/kWh
05.03.2022 03:00:00;05.03.2022 04:00:00;33.00;Cent/kWh
05.03.2022 04:00:00;05.03.2022 05:00:00;33.89;Cent/kWh
05.03.2022 05:00:00;05.03.2022 06:00:00;34.70;Cent/kWh
05.03.2022 06:00:00;05.03.2022 07:00:00;36.90;Cent/kWh
05.03.2022 07:00:00;05.03.2022 08:00:00;37.81;Cent/kWh
05.03.2022 08:00:00;05.03.2022 09:00:00;37.05;Cent/kWh
05.03.2022 09:00:00;05.03.2022 10:00:00;33.27;Cent/kWh
05.03.2022 10:00:00;05.03.2022 11:00:00;30.88;Cent/kWh
05.03.2022 11:00:00;05.03.2022 12:00:00;29.88;Cent/kWh
05.03.2022 12:00:00;05.03.2022 13:00:00;29.31;Cent/kWh
05.03.2022 13:00:00;05.03.2022 14:00:00;31.00;Cent/kWh
05.03.2022 14:00:00;05.03.2022 15:00:00;30.25;Cent/kWh
05.03.2022 15:00:00;05.03.2022 16:00:00;30.14;Cent/kWh
05.03.2022 16:00:00;05.03.2022 17:00:00;34.00;Cent/kWh
05.03.2022 17:00:00;05.03.2022 18:00:00;38.56;Cent/kWh
05.03.2022 18:00:00;05.03.2022 19:00:00;40.58;Cent/kWh
05.03.2022 19:00:00;05.03.2022 20:00:00;40.93;Cent/kWh
05.03.2022 20:00:00;05.03.2022 21:00:00;40.00;Cent/kWh
05.03.2022 21:00:00;05.03.2022 22:00:00;37.73;Cent/kWh
05.03.2022 22:00:00;05.03.2022 23:00:00;36.96;Cent/kWh
05.03.2022 23:00:00;06.03.2022 00:00:00;36.24;Cent/kWh
06.03.2022 00:00:00;06.03.2022 01:00:00;39.06;Cent/kWh
06.03.2022 01:00:00;06.03.2022 02:00:00;35.30;Cent/kWh
06.03.2022 02:00:00;06.03.2022 03:00:00;34.52;Cent/kWh
06.03.2022 03:00:00;06.03.2022 04:00:00;33.42;Cent/kWh
06.03.2022 04:00:00;06.03.2022 05:00:00;33.94;Cent/kWh
06.03.2022 05:00:00;06.03.2022 06:00:00;34.21;Cent/kWh
06.03.2022 06:00:00;06.03.2022 07:00:00;35.01;Cent/kWh
06.03.2022 07:00:00;06.03.2022 08:00:00;34.51;Cent/kWh
06.03.2022 08:00:00;06.03.2022 09:00:00;33.95;Cent/kWh
06.03.2022 09:00:00;06.03.2022 10:00:00;34.51;Cent/kWh
06.03.2022 10:00:00;06.03.2022 11:00:00;35.11;Cent/kWh
06.03.2022 11:00:00;06.03.2022 12:00:00;34.63;Cent/kWh
06.03.2022 12:00:00;06.03.2022 13:00:00;35.03;Cent/kWh
06.03.2022 13:00:00;06.03.2022 14:00:00;34.50;Cent/kWh
06.03.2022 14:00:00;06.03.2022 15:00:00;33.01;Cent/kWh
06.03.2022 15:00:00;06.03.2022 16:00:00;33.76;Cent/kWh
06.03.2022 16:00:00;06.03.2022 17:00:00;31.07;Cent/kWh
06.03.2022 17:00:00;06.03.2022 18:00:00;38.52;Cent/kWh
06.03.2022 18:00:00;06.03.2022 19:00:00;43.51;Cent/kWh
06.03.2022 19:00:00;06.03.2022 20:00:00;45.43;Cent/kWh
06.03.2022 20:00:00;06.03.2022 21:00:00;43.64;Cent/kWh
06.03.2022 21:00:00;06.03.2022 22:00:00;41.20;Cent/kWh
06.03.2022 22:00:00;06.03.2022 23:00:00;41.20;Cent/kWh
06.03.2022 23:00:00;07.03.2022 00:00:00;41.17;Cent/kWh
07.03.2022 00:00:00;07.03.2022 01:00:00;37.76;Cent/kWh
07.03.2022 01:00:00;07.03.2022 02:00:00;36.98;Cent/kWh
07.03.2022 02:00:00;07.03.2022 03:00:00;36.89;Cent/kWh
07.03.2022 03:00:00;07.03.2022 04:00:00;35.92;Cent/kWh
07.03.2022 04:00:00;07.03.2022 05:00:00;36.17;Cent/kWh
07.03.2022 05:00:00;07.03.2022 06:00:00;39.72;Cent/kWh
07.03.2022 06:00:00;07.03.2022 07:00:00;46.58;Cent/kWh
07.03.2022 07:00:00;07.03.2022 08:00:00;51.24;Cent/kWh
07.03.2022 08:00:00;07.03.2022 09:00:00;51.50;Cent/kWh
07.03.2022 09:00:00;07.03.2022 10:00:00;48.30;Cent/kWh
07.03.2022 10:00:00;07.03.2022 11:00:00;42.48;Cent/kWh
07.03.2022 11:00:00;07.03.2022 12:00:00;43.00;Cent/kWh
07.03.2022 12:00:00;07.03.2022 13:00:00;41.37;Cent/kWh
07.03.2022 13:00:00;07.03.2022 14:00:00;41.21;Cent/kWh
07.03.2022 14:00:00;07.03.2022 15:00:00;40.32;Cent/kWh
07.03.2022 15:00:00;07.03.2022 16:00:00;35.63;Cent/kWh
07.03.2022 16:00:00;07.03.2022 17:00:00;40.00;Cent/kWh
07.03.2022 17:00:00;07.03.2022 18:00:00;45.04;Cent/kWh
07.03.2022 18:00:00;07.03.2022 19:00:00;50.75;Cent/kWh
07.03.2022 19:00:00;07.03.2022 20:00:00;52.16;Cent/kWh
07.03.2022 20:00:00;07.03.2022 21:00:00;47.50;Cent/kWh
07.03.2022 21:00:00;07.03.2022 22:00:00;43.95;Cent/kWh
07.03.2022 22:00:00;07.03.2022 23:00:00;41.80;Cent/kWh
07.03.2022 23:00:00;08.03.2022 00:00:00;37.01;Cent/kWh
08.03.2022 00:00:00;08.03.2022 01:00:00;45.51;Cent/kWh
08.03.2022 01:00:00;08.03.2022 02:00:00;44.95;Cent/kWh
08.03.2022 02:00:00;08.03.2022 03:00:00;44.95;Cent/kWh
08.03.2022 03:00:00;08.03.2022 04:00:00;42.49;Cent/kWh
08.03.2022 04:00:00;08.03.2022 05:00:00;43.61;Cent/kWh
08.03.2022 05:00:00;08.03.2022 06:00:00;45.61;Cent/kWh
08.03.2022 06:00:00;08.03.2022 07:00:00;62.23;Cent/kWh
08.03.2022 07:00:00;08.03.2022 08:00:00;69.00;Cent/kWh
08.03.2022 08:00:00;08.03.2022 09:00:00;65.00;Cent/kWh
08.03.2022 09:00:00;08.03.2022 10:00:00;58.41;Cent/kWh
08.03.2022 10:00:00;08.03.2022 11:00:00;60.00;Cent/kWh
08.03.2022 11:00:00;08.03.2022 12:00:00;57.80;Cent/kWh
08.03.2022 12:00:00;08.03.2022 13:00:00;56.61;Cent/kWh
08.03.2022 13:00:00;08.03.2022 14:00:00;54.19;Cent/kWh
08.03.2022 14:00:00;08.03.2022 15:00:00;54.15;Cent/kWh
08.03.2022 15:00:00;08.03.2022 16:00:00;57.00;Cent/kWh
08.03.2022 16:00:00;08.03.2022 17:00:00;58.00;Cent/kWh
08.03.2022 17:00:00;08.03.2022 18:00:00;60.31;Cent/kWh
08.03.2022 18:00:00;08.03.2022 19:00:00;67.49;Cent/kWh
08.03.2022 19:00:00;08.03.2022 20:00:00;70.00;Cent/kWh
08.03.2022 20:00:00;08.03.2022 21:00:00;63.30;Cent/kWh
08.03.2022 21:00:00;08.03.2022 22:00:00;55.00;Cent/kWh
08.03.2022 22:00:00;08.03.2022 23:00:00;52.00;Cent/kWh
08.03.2022 23:00:00;09.03.2022 00:00:00;45.50;Cent/kWh
09.03.2022 00:00:00;09.03.2022 01:00:00;44.02;Cent/kWh
09.03.2022 01:00:00;09.03.2022 02:00:00;41.94;Cent/kWh
09.03.2022 02:00:00;09.03.2022 03:00:00;42.01;Cent/kWh
09.03.2022 03:00:00;09.03.2022 04:00:00;42.00;Cent/kWh
09.03.2022 04:00:00;09.03.2022 05:00:00;42.00;Cent/kWh
09.03.2022 05:00:00;09.03.2022 06:00:00;44.00;Cent/kWh
09.03.2022 06:00:00;09.03.2022 07:00:00;52.38;Cent/kWh
09.03.2022 07:00:00;09.03.2022 08:00:00;57.95;Cent/kWh
09.03.2022 08:00:00;09.03.2022 09:00:00;55.48;Cent/kWh
09.03.2022 09:00:00;09.03.2022 10:00:00;52.99;Cent/kWh
09.03.2022 10:00:00;09.03.2022 11:00:00;50.16;Cent/kWh
09.03.2022 11:00:00;09.03.2022 12:00:00;46.83;Cent/kWh
09.03.2022 12:00:00;09.03.2022 13:00:00;42.51;Cent/kWh
09.03.2022 13:00:00;09.03.2022 14:00:00;42.00;Cent/kWh
09.03.2022 14:00:00;09.03.2022 15:00:00;41.73;Cent/kWh
09.03.2022 15:00:00;09.03.2022 16:00:00;41.50;Cent/kWh
09.03.2022 16:00:00;09.03.2022 17:00:00;42.51;Cent/kWh
09.03.2022 17:00:00;09.03.2022 18:00:00;52.94;Cent/kWh
09.03.2022 18:00:00;09.03.2022 19:00:00;57.49;Cent/kWh
09.03.2022 19:00:00;09.03.2022 20:00:00;60.50;Cent/kWh
09.03.2022 20:00:00;09.03.2022 21:00:00;52.96;Cent/kWh
09.03.2022 21:00:00;09.03.2022 22:00:00;44.88;Cent/kWh
09.03.2022 22:00:00;09.03.2022 23:00:00;44.91;Cent/kWh
09.03.2022 23:00:00;10.03.2022 00:00:00;42.00;Cent/kWh
10.03.2022 00:00:00;10.03.2022 01:00:00;35.50;Cent/kWh
10.03.2022 01:00:00;10.03.2022 02:00:00;32.00;Cent/kWh
10.03.2022 02:00:00;10.03.2022 03:00:00;32.16;Cent/kWh
10.03.2022 03:00:00;10.03.2022 04:00:00;31.01;Cent/kWh
10.03.2022 04:00:00;10.03.2022 05:00:00;31.01;Cent/kWh
10.03.2022 05:00:00;10.03.2022 06:00:00;33.50;Cent/kWh
10.03.2022 06:00:00;10.03.2022 07:00:00;41.47;Cent/kWh
10.03.2022 07:00:00;10.03.2022 08:00:00;43.61;Cent/kWh
10.03.2022 08:00:00;10.03.2022 09:00:00;42.78;Cent/kWh
10.03.2022 09:00:00;10.03.2022 10:00:00;42.99;Cent/kWh
10.03.2022 10:00:00;10.03.2022 11:00:00;40.10;Cent/kWh
10.03.2022 11:00:00;10.03.2022 12:00:00;38.71;Cent/kWh
10.03.2022 12:00:00;10.03.2022 13:00:00;36.14;Cent/kWh
10.03.2022 13:00:00;10.03.2022 14:00:00;35.60;Cent/kWh
10.03.2022 14:00:00;10.03.2022 15:00:00;36.17;Cent/kWh
10.03.2022 15:00:00;10.03.2022 16:00:00;37.56;Cent/kWh
10.03.2022 16:00:00;10.03.2022 17:00:00;39.19;Cent/kWh
10.03.2022 17:00:00;10.03.2022 18:00:00;41.84;Cent/kWh
10.03.2022 18:00:00;10.03.2022 19:00:00;43.49;Cent/kWh
10.03.2022 19:00:00;10.03.2022 20:00:00;44.07;Cent/kWh
10.03.2022 20:00:00;10.03.2022 21:00:00;42.99;Cent/kWh
10.03.2022 21:00:00;10.03.2022 22:00:00;31.01;Cent/kWh
10.03.2022 22:00:00;10.03.2022 23:00:00;25.70;Cent/kWh
10.03.2022 23:00:00;11.03.2022 00:00:00;17.53;Cent/kWh
11.03.2022 00:00:00;11.03.2022 01:00:00;19.00;Cent/kWh
11.03.2022 01:00:00;11.03.2022 02:00:00;15.66;Cent/kWh
11.03.2022 02:00:00;11.03.2022 03:00:00;12.73;Cent/kWh
11.03.2022 03:00:00;11.03.2022 04:00:00;12.31;Cent/kWh
11.03.2022 04:00:00;11.03.2022 05:00:00;12.37;Cent/kWh
11.03.2022 05:00:00;11.03.2022 06:00:00;25.01;Cent/kWh
11.03.2022 06:00:00;11.03.2022 07:00:00;36.71;Cent/kWh
11.03.2022 07:00:00;11.03.2022 08:00:00;37.00;Cent/kWh
11.03.2022 08:00:00;11.03.2022 09:00:00;35.12;Cent/kWh
11.03.2022 09:00:00;11.03.2022 10:00:00;37.99;Cent/kWh
11.03.2022 10:00:00;11.03.2022 11:00:00;35.57;Cent/kWh
11.03.2022 11:00:00;11.03.2022 12:00:00;34.60;Cent/kWh
11.03.2022 12:00:00;11.03.2022 13:00:00;33.00;Cent/kWh
11.03.2022 13:00:00;11.03.2022 14:00:00;32.73;Cent/kWh
11.03.2022 14:00:00;11.03.2022 15:00:00;33.18;Cent/kWh
11.03.2022 15:00:00;11.03.2022 16:00:00;33.68;Cent/kWh
11.03.2022 16:00:00;11.03.2022 17:00:00;33.99;Cent/kWh
11.03.2022 17:00:00;11.03.2022 18:00:00;38.00;Cent/kWh
11.03.2022 18:00:00;11.03.2022 19:00:00;38.99;Cent/kWh
11.03.2022 19:00:00;11.03.2022 20:00:00;37.05;Cent/kWh
11.03.2022 20:00:00;11.03.2022 21:00:00;36.99;Cent/kWh
11.03.2022 21:00:00;11.03.2022 22:00:00;35.99;Cent/kWh
11.03.2022 22:00:00;11.03.2022 23:00:00;25.01;Cent/kWh
11.03.2022 23:00:00;12.03.2022 00:00:00;25.01;Cent/kWh
12.03.2022 00:00:00;12.03.2022 01:00:00;23.50;Cent/kWh
12.03.2022 01:00:00;12.03.2022 02:00:00;18.01;Cent/kWh
12.03.2022 02:00:00;12.03.2022 03:00:00;19.34;Cent/kWh
12.03.2022 03:00:00;12.03.2022 04:00:00;18.05;Cent/kWh
12.03.2022 04:00:00;12.03.2022 05:00:00;19.34;Cent/kWh
12.03.2022 05:00:00;12.03.2022 06:00:00;21.00;Cent/kWh
12.03.2022 06:00:00;12.03.2022 07:00:00;18.12;Cent/kWh
12.03.2022 07:00:00;12.03.2022 08:00:00;20.59;Cent/kWh
12.03.2022 08:00:00;12.03.2022 09:00:00;23.51;Cent/kWh
12.03.2022 09:00:00;12.03.2022 10:00:00;29.40;Cent/kWh
12.03.2022 10:00:00;12.03.2022 11:00:00;27.40;Cent/kWh
12.03.2022 11:00:00;12.03.2022 12:00:00;26.46;Cent/kWh
12.03.2022 12:00:00;12.03.2022 13:00:00;25.86;Cent/kWh
12.03.2022 13:00:00;12.03.2022 14:00:00;24.91;Cent/kWh
12.03.2022 14:00:00;12.03.2022 15:00:00;24.92;Cent/kWh
12.03.2022 15:00:00;12.03.2022 16:00:00;24.31;Cent/kWh
12.03.2022 16:00:00;12.03.2022 17:00:00;23.51;Cent/kWh
12.03.2022 17:00:00;12.03.2022 18:00:00;28.73;Cent/kWh
12.03.2022 18:00:00;12.03.2022 19:00:00;32.33;Cent/kWh
12.03.2022 19:00:00;12.03.2022 20:00:00;25.11;Cent/kWh
12.03.2022 20:00:00;12.03.2022 21:00:00;19.92;Cent/kWh
12.03.2022 21:00:00;12.03.2022 22:00:00;20.17;Cent/kWh
12.03.2022 22:00:00;12.03.2022 23:00:00;20.20;Cent/kWh
