start;end;baseprice;unit
01.10.2021 00:00:00;01.10.2021 01:00:00;12.19;Cent/kWh
01.10.2021 01:00:00;01.10.2021 02:00:00;8.85;Cent/kWh
01.10.2021 02:00:00;01.10.2021 03:00:00;6.68;Cent/kWh
01.10.2021 03:00:00;01.10.2021 04:00:00;4.79;Cent/kWh
01.10.2021 04:00:00;01.10.2021 05:00:00;5.45;Cent/kWh
01.10.2021 05:00:00;01.10.2021 06:00:00;12.30;Cent/kWh
01.10.2021 06:00:00;01.10.2021 07:00:00;16.33;Cent/kWh
01.10.2021 07:00:00;01.10.2021 08:00:00;17.08;Cent/kWh
01.10.2021 08:00:00;01.10.2021 09:00:00;19.00;Cent/kWh
01.10.2021 09:00:00;01.10.2021 10:00:00;17.47;Cent/kWh
01.10.2021 10:00:00;01.10.2021 11:00:00;18.07;Cent/kWh
01.10.2021 11:00:00;01.10.2021 12:00:00;18.37;Cent/kWh
01.10.2021 12:00:00;01.10.2021 13:00:00;17.40;Cent/kWh
01.10.2021 13:00:00;01.10.2021 14:00:00;16.09;Cent/kWh
01.10.2021 14:00:00;01.10.2021 15:00:00;12.70;Cent/kWh
01.10.2021 15:00:00;01.10.2021 16:00:00;12.50;Cent/kWh
01.10.2021 16:00:00;01.10.2021 17:00:00;14.39;Cent/kWh
01.10.2021 17:00:00;01.10.2021 18:00:00;15.88;Cent/kWh
01.10.2021 18:00:00;01.10.2021 19:00:00;18.33;Cent/kWh
01.10.2021 19:00:00;01.10.2021 20:00:00;19.41;Cent/kWh
01.10.2021 20:00:00;01.10.2021 21:00:00;16.60;Cent/kWh
01.10.2021 21:00:00;01.10.2021 22:00:00;13.37;Cent/kWh
01.10.2021 22:00:00;01.10.2021 23:00:00;13.06;Cent/kWh
01.10.2021 23:00:00;02.10.2021 00:00:00;11.51;Cent/kWh
02.10.2021 00:00:00;02.10.2021 01:00:00;11.50;Cent/kWh
02.10.2021 01:00:00;02.10.2021 02:00:00;10.53;Cent/kWh
02.10.2021 02:00:00;02.10.2021 03:00:00;10.64;Cent/kWh
02.10.2021 03:00:00;02.10.2021 04:00:00;10.23;Cent/kWh
02.10.2021 04:00:00;02.10.2021 05:00:00;10.47;Cent/kWh
02.10.2021 05:00:00;02.10.2021 06:00:00;11.20;Cent/kWh
02.10.2021 06:00:00;02.10.2021 07:00:00;14.00;Cent/kWh
02.10.2021 07:00:00;02.10.2021 08:00:00;15.62;Cent/kWh
02.10.2021 08:00:00;02.10.2021 09:00:00;16.49;Cent/kWh
02.10.2021 09:00:00;02.10.2021 10:00:00;16.49;Cent/kWh
02.10.2021 10:00:00;02.10.2021 11:00:00;13.56;Cent/kWh
02.10.2021 11:00:00;02.10.2021 12:00:00;12.40;Cent/kWh
02.10.2021 12:00:00;02.10.2021 13:00:00;12.30;Cent/kWh
02.10.2021 13:00:00;02.10.2021 14:00:00;9.91;Cent/kWh
02.10.2021 14:00:00;02.10.2021 15:00:00;9.43;Cent/kWh
02.10.2021 15:00:00;02.10.2021 16:00:00;11.30;Cent/kWh
02.10.2021 16:00:00;02.10.2021 17:00:00;11.86;Cent/kWh
02.10.2021 17:00:00;02.10.2021 18:00:00;10.65;Cent/kWh
02.10.2021 18:00:00;02.10.2021 19:00:00;12.40;Cent/kWh
02.10.2021 19:00:00;02.10.2021 20:00:00;11.56;Cent/kWh
02.10.2021 20:00:00;02.10.2021 21:00:00;9.26;Cent/kWh
